Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
-0.5366548815066588586861937338310553012984458469066434931178124426051501116103669506766610615478696331+0.3512889757887678482067568214094732628838314716491043051570586060631796940864450333367699394559465327j                     0.1645945173342045368472043261301965393911090395908004212672674607334233380297212768559858873429251067-0.3770418873530335245164044130783473600659334010023527337232309859516055451194556162865991651883391767j
-0.5137520756341806158608662587507503632017362793750221147292060661244735613391088895204841702599462719-0.4408845510103236261025224876730517469019166149773537086340908985487479448308177750129181397397392073j                     0.06956200789885418453086936584885983424508447463895340192839426617665624331147342071527308246861484454+0.4530107063931950908299272665923633540199298090426388452076538497390057326709019406774801911071517966j
-0.5098990849213792096726308573675795254967462318462300029764007446186090778237937174395842878062758558-0.486088966404783750222056562288528579463208953156375870169101535577795110016465168213398090662930142j                      0.02371459354318890154444310214416558102372023060087752359050363513846038106290306799094924621566373142+0.4957126383203565503058742030650639410451704521345882919254325237420086052578773057920138584486360919j
-0.4983803700935660873234570912874913734271163294806352857071989303608192180080989752597960105735912676+0.3400293361303553302160686995471245905284067782870394683462907420266713211284526009182504234946519036j                     0.1327630438653497336763346573764633881495476903184697062905826725664110316656402967690759325948369277-0.338927892766632144522932937221533262722218823095018853633894007927519712046751258640192034238254496j
-0.4620011864756506668202371699788189849303020731907489793888842052680157143429370938645218741747723142-0.252215184847995999326310995081960978040221937366538316699470596846887137657395588782215281768350243j                      0.1498325968370001498897283773044635969244101883873903795898907658064137430952152608410089051351499795+0.2330474292938994045342991120460129204436462804558500475224956800187421944627516597853004787231174015j
-0.4548614680991373859460323709722035086026289479653844703392221633168294338382191120039257765674565965-0.000000000000003972208936408900721378626430825304830773055832888743811170699375237366075921889618273789580526495088j       0.2068989551613025778200179273483082830630437075553676903596771575851063770275710030360826071981200488+0.000000000000003613609576822931281559177896997552659073619579275149989917886952437871587978534043411054938938519253j
-0.4390644888465471815278398585177257109782486397137134752710859735200911031428070951307990798987479028+0.3105524605865410076162157804349726334389544166204099878806947293133678482147916535856626860177483846j                     0.09633479458972464841115081437963786535880294207972190916132770558975243395189282049018658502775989607-0.2727051147349342348521794910618801420687179492431568249621879671076580547864757888958939821390924063j
-0.4199460251782727313773728877511319094624031069425326198355833875673315821458188139314027216570145993+0.3717886804706121547248456572304755081816486852919940895423643429995652922134014387433995408119410662j                     0.03812784113695153103173414467480306243337444414618363790376520264693562032271850250564771031344291582-0.3122623571398169745121385290788425127058179441164669073657255580728970983375626156277760173675835772j
-0.3677651808716710296049769786223652892442342136248956367701198702781701214840029068313260528726572919+0.3702512050781174000260327802406966612777687264504079133078196423813821119264198151263082027883972603j                     -0.0018347266002252410215839059636421864007191498279273937519612392332604566582617585954721049674849549-0.2723310028070160176492640499081321764775836399445427895035375746207265129766772143237259570857899266j
-0.3599326967983969996305544135378613737202193490976323466547602876355221807278897559421254920066885939-0.2498881981437569445834800709906095603219509748995403828125620960264161837334565941527095764791607832j                     0.06710743465303325406354122696434543295970563846338925493419333492006582378906800662796740249895656226+0.1798858661119492405474312007707016854436907103681789629638106387028886527793960840262153469674947892j
