Npts=14, Emin=0(0.000735), Emax=1196(0.440265), step=92

k                                                                                                                                                                                                                              E (rydbergs)
0.09607507861047469152786616195810550442270803902263486377869831198406901998134715656202874182998333414-0.00000008131490012719860513295737333861594720355650224248781780343427259685299254892111507803259764146035823j         0.009230420730002279470828014079685352323203195643123419541762944713189649008097898421981825909909447733-0.00000001562467084384700896282178683701361344845926092623050148142897843879621753254490648383938711452019738j
0.1373490273705810699555604842151860443407694654802753205738416660264718160973496203098214212642528077-0.000003851260897227155478281907343434901642872936032234475966014652894512526221744226599001194153552481911j            0.01886475530481241740484974627147285241069600991172612415278978341513276765506107002842083476797613619-0.00000105793387676900237378438149217849326029452075007951697596129966131480911050896169195601312808491749j
0.140228154447296500732074980289033277682603195922775208864697349109830959158053701245877879763609304-0.3511065004660309024019617906663131321221182106409663258621650103084451897067031314765554475900463301j                  -0.1036118393698081169088623911845563800303138442545219822310612773833539342551598411447233351225719453-0.09847003314960072438704308765586329760576151848982506112899462479262439060875082226166688625835623356j
0.1704214346157010932804800289462165627650453441121214865094548367045591899676509149568589126039975525+0.3377632412617523850183731689663056919293252973665135349317800318075295604727297743800801257136799772j                 -0.08504054177117106603154326550827688634548401941144554439175425660574121391020129893878768683264085855+0.1151241922725540154451415160791910727389642089114218139671118120023422153021408293494234114571032532j
0.2069586489532541574106568446574742809967018185879150483084019028895591499740573258201894306416926267-0.4606484883705404181864994214206408740813052759353795851358419424151575514389792690538768996265892942j                 -0.1693651474615076227534265911451967941589909649686795074531961565272670251529115526623882328772892547-0.1906703775910517092427695936265568274625452347203131318941057519911819693829857529219632797918705519j
0.2615415518202463794533227286192283061091312838543808473059141383361115877585365250738108024183531756-0.4086161895974252104647854011377854629227033267247216273919384526940833555898277379378347865776212849j                 -0.09856320707257632454068670063087503774561376275444225562957345911498770217699132109420073840847461832-0.2137402246523732105095238146581668721808794752324789292904237390014545213374726793359923858885879084j
0.2769798351232696359010755110857961498980564804291998813716591815547701447364653477257002694301865703-0.001184406310025359131984392829452851112530472641798844705774276262844020003879046469210986146197095599j               0.07671642624660640395284346838288968099143832101913667563742470106934622033882680152184401889319876221-0.000656113328939568305577085461120018350676039664036300957586164847466575371215641650983600380246519425j
0.2876162438518554474005042213109091259371077933379713226522693489564845514661819610731347041112485227+0.3401641942753225680855661464947544229910729084292270349196953434653714226780080792451461823575556474j                 -0.03298857533952941855498399486529768389663224233990861967394068539418097989751070858246858953662907013+0.1956734957007222130998383612692352945815038433316222117995666190451845338837804094123221998990006373j
0.3221674312956775197172233847949603992067757526220466286332273976518326907118818107293521260308017898-0.552620949258218941705828881447179886709809971962242499834896148713007052663317811904344680271493393j                  -0.2015980597713998993462540881184136082190958572724365850512428602146283666489662214925202701476036015-0.3560729434053986874107067664788209348330244382323961734316760879331596288303364730196418299779383179j
0.3275644342948687868580511232484044407331580084043288838440524840379500813680267054971883607712348124-0.320411063401825812135407111718984339966159615434937151495952594367894011782754694132522286169680683j                  0.004635209064628570254043742017435918326057958804092893200852579965428845824843030131048248890631362801-0.209910537450072816559838884341575608772884024581066726903085992255746158309146758800316252318971592j
