Npts=26, Emin=0(0.000735), Emax=1175(0.4325475), step=47

k                                                                                                                                                                                                                                        E (rydbergs)
0.05622581351895473370058363618419066613756911773881434342425356630379544723105394028431228489380041528+0.372489064008643792179086489079351474042506037053327515768951882934583731226977703000270011818207385j                           -0.1355867607001672592221299658595145882292412515572826953329711655566245939318491381264960579622947837+0.04188700130159999852331514242045777489447011186912073011386531589995207960808773342125565990596435476j
0.07021021307932916916872434801093788569918910187103273703904556876794275414896976011497449491044646901-0.363659303158497980881411477478975169272449933960950069871532714051852865303615035890998842544572946j                           -0.1273186147530795347984130011506246564257682684873517795295336289309303068064064912356010778596975607-0.05106519432607701275558945301894677217345221230531538881589783149660887982335824653072680894236182033j
0.08602115925989551546986196875377978765420533532997211945740303481867460828638776941537000757217028608+0.5117246828389295598429865368030624836557217039666963252320613839442317177209775101793150277873184111j                          -0.2544625111861867411791217261242149131398934824051369774434807065445071011940483508574242348362458688+0.08803830087941416256425757371982977496585087512612008862568556569928427007064144656497954881607255129j
0.09816968386418514812214646000655187468941200518612464598440580808090753125733550709673118180084916665-0.0000000000005868480601100159837349878290775912043403339501067437307735840326663020861549465771199576228129030982j              0.009637286829994053835733952361081313285493323457618624289359912011620158138989687705737628388009632361-0.0000000000001152213770746211839991307669598839573830147131816612664061134994006979999793559353039029318436151403j
0.1165530289663501326920853364226224618177371624160206565056818953571706804081135305115838368973091178+0.386626840389920125782961849186969674128896362129955387187456133062932285689111812922782233827900736j                            -0.1358957051486619192390145815311084902471712298588617039149886417228065965839406098167503138450502044+0.0901250586542695797025321725046317366655063271495638915604052697271181750883779182913102970764387941j
0.1499386362182916845126581995710686974466391771804188700118564856065507036811013000011509393980925464-0.3716692304335330570625184675944876052777379676056896472464271509178532884124865192263191564407116606j                           -0.1156564222200534842843036631060416639712741887439752807092582123116791961454875909558183323492227292-0.1114551550710118752594468907235852635437160315397512949313086148272802666555775962811658309774734282j
0.1667068032872015433648354369795449275149781169603522035387718922773989136698875763839418564673720515-0.2852877738644835763101176863951333907119512158204152828813578964916234639649816036745532357533437451j                           -0.05359795565431500700399003479801180273780730400336710849177251029960257739195876997737729246538001783-0.09511882559574020241932820341976758123469557827578832548055656715072443985133719965039923190793420154j
0.2248785554522893271354684186332155199193524622922960917801661914727013915112520408258641471677565617+0.3940605198808063090951901336836107756363011998139146267060471526727764597087718053101254216060900456j                           -0.1047133286264229785160113532065777786465138321308574273878132146268511696801421573824084504839189794+0.1772315209431477248235049518901607182837609624350482769706282360880769736573954455907119396333976862j
0.2523858160708461612947232989879391628512893947576882214400712277872738813128933876991203430782841646-0.3334100834328595459208585906185252850638847563496368049256837158087952467191390504711897623276556136j                           -0.04746368358095937499030704356481901098130745063576797088678121846204224816124052338846468026351773965-0.1682959519869023245175937731994777908281800006012353259113816437253196862940827008781584194472742351j
0.2535174718105702069866835547941187077432426191700149806956387710298692599682578654901495570748801018+0.503265121417454631300807529319837107760642011753239994651298963933973151840595422013117440785429669j                            -0.1890046739221020926980457950443860704460362268097690339458243276500095933796311528996169239541528211+0.2551730024643854940422855931682819236329588451965222789381645900808919074368266816699559888771000747j
0.2768441149334837663859976192398545547245692621457745248341658083793500338967505467799253974512594716-0.001179337350473623030270365803722026163426368380127641579668387553051808638183946619073515650779363053j                         0.0766412731367177472032618675505657672894900995919876927201477673263858890516919087253235535888693694-0.0006529852099997398398899910418237835024209524393176124336365717346944135730625493532957361810971662512j
0.2806141019460618776050583114480602848202186581135755291086033672427534900127299752178379802571735122+0.3999411874608262825902690595100332198659812512592133425104662184885522707880077175211483819699010908j                           -0.08120867921658098168819612884883994217161353540157258513364853067165299716492004962571461502369874605+0.2244582743011227014940524398487710648428511739239029443017318405358568088408184719833679620878307932j
0.3485470234416247131745577409404977701307393046319637969109709146169549514918872550913430709664596599-0.3178430424145925186546516885218118684536586032725677185942367631051938116526312348354390213375687699j                           0.02046082793865202850431491039451578576941920418094583500888208290790422724293246526645204913183511925-0.2215664927104725931520480453131091621875179542223172104693499728974986432636034995879916253084661697j
0.3602041974219679598696335310467038151839618779063182080922383011872986816578660071143682012760048843-0.2479197118316579706125045951942437109103205570644307070833584180343698814297237398246534085744137374j                           0.06828288032571174032534385608967835236419147589635456983715387121665421762084358562808756457801173697-0.1786034416508158669923979514648783075857636542904052707506217067298918468531315319795372080496074552j
0.37943281817281914210983207781960302162533780327116395149658156408171241589213334944696120480834327+0.3952198208352611820409285297281553079572936597759278501384170065161007959371609439079450306891524021j                             -0.01222944327448831651604869706110865253303090169305890311853333053697829174769881278129446006785904229+0.2999187408345596288987037566307955793093400653399190959302866583066008608878657588542847772051760852j
0.3986757965757509178348157153930025585770679352992962927516910892145872396018732616483984362324919984+0.000000000000009452155928019595049658081095043359783991288397247614750489516380067202411297456475618831992879296375j             0.1589423907753095272625406229935189610778841564247931472129229318968517424093691585169104993983535482+0.000000000000007536691587922836422190342330528304165001131636535606133775069389040736020048411531692885377087298669j
0.4122112271324081515434930033668228156371420398874930460931600792733196425363591688005423560365047126+0.4839454709477816826854131808061329469763109218351951175190132828222992546204093997842912149938771369j                           -0.06428512307686442242483409773016027856185413878620587447876048120196361961898745739351322142352489555+0.398975512889112531207839579778589096637592262653383087433001687087280387418791512819131815469648446j
0.4189515565164170607840389087723273375555414082532020336761060528258052404909136530883849452259508427+0.3825969847181208235153834578459082588338322811980962189602593383072371010748599941769695699542219649j                           0.02913995399213061962266444794115912439837643877507740773766282320407049413287002756985974806468503778+0.3205792045322891014414781928075502243805780843040906768712053469664857871841046511140119808571410867j
0.4461624008939500510848575021807567771289073960849502528554045290073591959993435221112047505302985076+0.00000000000002266720565979868249597572758119706910396518603180887184043739998251358047432019551989392561154271872j              0.1990608879714538013434319469827604803882285013056575515444346810517448850687186644242732137678830995+0.00000000000002022650979746542671354104856018283450289429510611398659157082855000994291250579703881891069761916954j
0.4617850793851786503303022963686357407891941977222384421398688443173013725360910069049784596538801291-0.2526214888658221491030418291268604036856105308958004900130765843180975488540381155791512932915911382j                           0.1494278429059910440429620584372685939202497825865596457164062780236024495064206337238856951570279059-0.2333136685806114112985336292394097932765137956470387771616554851015975172807685936568665456328677959j
0.486028226194239244410608385734644184030796018639605386232487286412644819329443649828649757100662423+0.000000000000004113998346514228096692503831248779022629322841105053851865454317379443399737706802744468148251994125j              0.2362234366575185867986657026509447176352034220856446024273926451150424729302751708320713200774079461+0.000000000000003999038637844686991856460050644721628733864006649233869954088050895322047700363177485571972922064624j
0.5114196506268605016240592046674382339415352742347443981097209916663972984172893185016225845553582585+0.369086535015895645538701044623549336943451884046044095945383005152593890931094072857339018383865249j                            0.1253251887172600946045682430879019539992885042618888936154747801564142877732113907818337329911123696+0.3775162135778157319213535730351979287677033194405740936646045002012368056866528794615960335861643776j
0.5172566385705456226701023571916828859883030710986783572412001311136131519548516708737154921862238405+0.02964946866106118558851875750072610462220705352985275912240809135978578229867583387160745214961853876j                          0.2666753391534168161681301771141717221269296853627132281739122362105859667618978176231690460556251944+0.0306727689900464898577482081113595365953816583025966962347277640835241054934574003324042160049041086j
0.5172566385709043638902802851232496979313232974985237966349726087661594198658233417488431939574110382-0.02964946866096831347733040229833198240702540197856357914185453889329227909379829854667033880513790334j                          0.2666753391537934459409624906322231248442058996926812373359205256812261792553639283243702933083415041-0.03067276898997168539877785698044405809450339253811636047392982230439336974729785845745658278570175023j
0.5178409856046310527148504076660049692673027074639985004358301736162154087070021051901681961522520765-0.4793332648268700293511422857549870022606260321071975407125908990790084504739117790896323714364386889j                           0.03839890760238938833543711501602318785468333534394061414776502644891944703200280711414292139065170433-0.4964368205820640139593820712274622737562873384477620525994242758489521515563665729150404435864726239j
0.5344034688985817809050992074968231075524299731561713519460306178645705433371799841818660439080877527+0.3598141832810322401394226446653081049445441213297237891436927265347522328985553823817469486509935364j                           0.1561208210806412039582201577536110452932163644958506753695745741900149786434149330533307402857445927+0.3845718954085874347157999750850422763145588475118279984459014866349442672185161674193230146516441974j
0.5569051935250582800899366585368014036818724555171709581904635207150858191402698453975313347179751749-0.0000000000000008575105978284071522571986046470551687002945719127571238221951968032166552045950966383590817383408935j            0.3101433945751826148951546618506920167035092746356239257624755697960042520273900967721025691822753996-0.0000000000000009551042108668350113301048137854873238094961403503687181029092981487133557779231501399131033696479641j
