Npts=36, Emin=0(0.000735), Emax=1190(0.43806), step=34

k                                                                                                                                                                                                                                 E (rydbergs)
-0.5420343880608602158311993904275996510790331823774128044110359423458744457917960183984965187474283641+0.4248155768514593380315856161953190277707761403006428651389304249968937918318962688835103825373218677j                   0.1133330035048730487090116078679695009873733099904656304956953994404432343053029049535935916498547917-0.460529302474804193784941842086949459782644462351938084546331176034823380257821201843518513386900624j
-0.5344601733068332305955794094399905272436112679403478824039458055748567439130475270006794526253818873+0.000000000000001985249695737438228973554731197577948847552458486236687681688076391428349389583057220624706398490639j     0.2856476768511702121066711598028491324581821939884577332610430483070722361887662135760527784342314137-0.000000000000002122073792882338352232057838320971460801986693598828405244719221437430905091672214548278264398469164j
-0.5308469469475077283261740981731234902411199000387332323536708692865903925537734149639974788651698342+0.3712314185764277874421639865511617667549956529384530768356971418669791882630675104253282044498339041j                   0.1439857149452231505386820654295304994892770656030552146454892000346823477658429176453123927147642444-0.3941341303245779933037281285899133668731289445978118629071002297440161671613489279204108048399784033j
-0.53052561187213282202929265175248190467798180181569467256315540841609125574980632962824088149891346+0.3242121135622392813423766316124632130959199338360644373732318420061147105258306251781217803225289655j                     0.1763439302718065781737653293601784821654256649485661191131630555702164770063794611250734808747231455-0.3440056598479288135989650245824352640752181538917479424366501515177818204257441363917533821869384308j
-0.5119948013882485689168073103828971003267777265847387992761131235001391607159519670408915616721015109+0.000000000000000678673435383480793958365140248319957802705468254431438940475108566683855013535494874292505505874775j     0.2621386766485920987129280401351615473553942846654093330549742045653268167889209123743135800997067519-0.0000000000000006949545415132911956790497565977278406496690279050384670394639557067725580563209785232819108969484689j
-0.4961803554883349729529258108918599997251907671449645107144925704221576256265521305774018852323081818-0.000000000000003791257718224242278340827550031146241015315786181474543369584055019150219101026214952645687869544128j     0.2461949451725304657158673000685330707298703235597992448325739066876224045882948834567806771272061948+0.000000000000003762295204752796477119534405843755146565923976805214625370660135520088776737483457965082672100688521j
-0.4736525916578390175531102371241353828577085573797162896730896239312692028126717209571291074468766334-0.3956318293813599184396250425893402542929272048582595674037366641424040564783831160947592326635989316j                   0.06782223316454610645804771012025887812437189811309334759011971730985634594079054090141443905059072805+0.3747840826576262128509012406468578575467819828059854866875693753182765533877843049075764128016263598j
-0.4644549298730791684016728856998525856336671762640860952343761446956096835461417232151507558964185764+0.01772711367394147150952780691000653650850055771701535918752507755704538325466080157881876282581921661j                  0.2154041313241980454091548144749575637380807548273076559410775993446150245464720915742180968233024307-0.01646689067656517792944000902537684711270381485862234511337890267387485917397453051200425529444170102j
-0.4644549298730177613374977463833339624190199902781055800088778100212098780858630166104942149188807814-0.01772711367402134303873070486826436217170475919770511886803106060710478609515392132033743080389213896j                  0.2154041313241381719984294772437259021444121458773623094815153201497521594739120473642309750097802965+0.01646689067663719424041554292091736338022553930868503947593523422007247958842822804696852272322338928j
-0.4617615360073058665254879141151964689135677570417400502345718250270741229350559108120560799457975925-0.2527925094544356872893043754646051814233940519694657398346117871512159155146090234029432087063939156j                   0.1493196632995554759527768226693730463717738446187489391958319930103219138131151540704354732904713311+0.2334597149136432266172842270403357100514935034223190475314535433160307970902776380837225531122716922j
-0.4555795435904498618584691867142447953048259385163270507145724152403000703718085658653869922593819391+0.000000000000004847536758768326667299679712060025221501047564362486401300146890926789639003295860791416558766581751j     0.2075527205380826058084200848709013639159792761924975063494123845956842701886920782282297907098552366-0.00000000000000441687716819520583106342215608723733393646934904127764052613300997082493903761931179680346963450634j
-0.4447678103675271777012081275270886416491788618247871705381074788922073154019465815589589075835442123+0.000000000000004088626589261886540979585558154139787034869475677069406215518988063346133398562253542265772940444312j     0.1978184051391246160183705728011464109486074509718575298482625068890064599257934698556487034351387319-0.000000000000003636978991032920368651006784644321398726584954438545590523346960809177091329592076366414223365456768j
-0.4288369238423723277902312464166551724635535793794378261759398678792979010500928732854244235736464005+0.3188069634118977967399826166601633937951259879596883268292652029787094423286527705710125908826688389j                   0.08226322733067350338962134063058733404325421482105615428276760145691118384258575865623741240117085682-0.2734323949781719932589380139827163093467344417097597990878299370918888513112588785066605188792313094j
-0.4236358113995660857478551717875497928177786015360856715711461808728863687804003031330110290946111116-0.000000000000004350518340707198483245171394137467406225700606640446101310148420251669168731466166002694621295298561j     0.1794673007001687267274293912824612943692483135040217070579041292180271768898833766919012317026254055+0.000000000000003686070734548375854716334331424211759448298639496168321946172916174818740591881034562931238437419572j
-0.409911411653416875289496761884509276770140757310965816490566798478792124748170837476725235619589523-0.00000000000000504582823620713095719121102911777131117569443431114506019588240207972752948740889050491872377467517j       0.16802736540369698806921091517564981480776937504808718134959214079964980498343090621873985900393612+0.000000000000004136685150528671316548012415830913665149253460518948804875995237830393866726459466158194176602547167j
-0.400669538712422449134263850397965604215491943730133871966696320908585356677671452562066752139681641-0.3146909307650924700721218688969087500196308772198006108046354475804064729203364506120565852961656475j                    0.06150569734622516914710085609449747783169129751829124374309959104614038347882989002543626889900906914+0.2521741401332649402541682663614043880109481636498386970089629811449268700624021907389001226663602034j
-0.3922629126362106180618382347122123178795235840950443792094133768414907583551134089495974424310346108+0.3911863309606528084747512416681534917600047867659141124691535587987365307980629709232650696419066862j                   0.000843447099386009751561384364286802913830161453867521596094639310909889848240987180737762372447362474-0.3068957791321966509422078592913535357164051869763126240791261420777557981195949268402805405828637529j
-0.3913165788391219088541593393890293165932321391024205089612713520088073947809936126799302330151419671+0.4565044233624089815077789514587871845690070819248164778952622276352266530960787263999046684363856163j                   -0.05526762367509082261839222494002375018387639774245570051941098854173207210711611640715944997898658567-0.357275498350207999224642512783659833241896632286911453626230030288599122815538805013559054890222046j
