Npts=10, Emin=0(0.000735), Emax=1197(0.4406325), step=133

k                                                                                                                                                                                                                              E (rydbergs)
-0.2794002910008286694603490128799708166090266107796474980164420579762480837469938303525077900547429502-0.001149848180492599722875367147012451429062712995377136441793432284058934760869501549861344574983259407j              0.0780632004605095598345394648684790785804316241696369515888943437908243441736941341318472016174979651+0.0006425358324728114599782180691569458312469219898242548079032810718804670646358449775651956136100128942j
-0.2689851895536856164459275356666251004102391497240747138520680172930076749860125877995972866571777893-0.3776316834086057362281129567091318660905993139866274916230204844922577138076951419371184267934366441j                -0.07025265611478525119836496840857986930331449175084047470451501173064029651724647045730581493401297878+0.2031546598862824192068206470207792091855832133369760590124590986263456097295937787812014861652604926j
-0.1904891920662228496735436430008552327898006845369428428149169743151685772739171115325785523425610178-0.4904353342480884728613500417071152323643475955529288568259460870139990518502644859630254792847958508j                -0.2042406847849919239032731266749392978820515174257967582259871114995118690870266983993257746060025167+0.186845261163292652308755581273384150377113964486326899733757225635246556029806326318527942424014566j
-0.1787549309992488992315119351737473495372012276545936085760895900787644528752299872591995674148534619+0.3572902973473204680258803167967916633933017718431089677344336144301728844484294358196069906906107935j                -0.09570303122199044040301276951159233128873683212197539947371920119121575119306630184455670957371719202-0.1277348048980427845598860813001913977533022584597117357060303754292351884089743316856402887226055459j
-0.1150273166050211918526681621846696920467985752134988399702477580914181262244435731816011425434795238-0.3677274114139145035727776529496589170998427438305533768477889045133259288023271458164105809372080445j                -0.1219921655398265547097431542032345404668583446424477893783894086444546371877818613939049461600285001+0.08459739475410645425998405416516569584953093059583568468981577097646917910821147924853063136239343197j
-0.0396728113939507346663684108738859035976039775560526708534215255755483318506624789585072333469641028+0.0000000003258004883492169850012624592664716478784973284133834431240621191850394182366157056795287008735705295j       0.001573931963899987128511187177523173793840168324940575928448947268544574143021363850088300509393760722-0.00000000002585084265267105836756110711518393254339005545624660400534400560225042095468161552849688452613389511j
-0.01523063287974208253072185437296600043448097372110621834221908977413952798272631336158923513269355953+0.00000000000008160543035245124641041534016512486377912207237649559225406828047413944680252277124667057456828917053j  0.0002319721779174806018242316326696313331011948897800805108760244182625002794085772851433448090124615976-0.000000000000002485804701383092952199191314721007575419843340201290518762466235448784179108421689927927921020193503j
-5.590698648140367075339530274011570375998234437404201027405128776783515986118230168423720060427131365e-87+0.2403206349059675159774674891329948692932422120521484300134669861270819555203336080206401985165124648j             -0.05775400756160733246699737341204168481625862542652785271144293101432799027479059242395369081823968967-2.687120497378054606745271162485639400693568216680499398685817801559755691961961405993443402859299033e-87j
-2.218722618907978340455849875088024195905684435130293978526281352021239547882011241679715339790649958e-87-0.07164118633134317892482088540279446582656443464236104115489885424557798651904408887569482914260944999j            -0.005132459578962232732157048355658433847668219659177668729304464467148014991603154597880571260431188971+3.179038411175043977478846309054972571510283115883961540911909288036508157933416761409003517012474179e-88j
1.131814294530545979406867590759021056297084939099584860295881515389447838940063053752017149320730776e-87+0.7092420942150304567509607635027686206556479104385017845118632905085922833765206841184567980617564015j              -0.5030243482065221388858937941676115900147658096970660892667598894453767536956093170815962678518052973+1.605460681030703444215954765390989476264402985349401631831045752146355698060902928273725079808404124e-87j
1.326349011344161674781571197899012103208240788746103583203631344154608279211604841894500710863264887e-87+0.3985812364248630374711174724016605472156667584605806281989874220617670071854161167424777946982103501j              -0.1588670020299725653924132335112836681619316709710529014635275014980003768709516097974532652766342498+1.05731565774490130284952570638839267584927406157646999804740170087317447520239026250856087198469038e-87j
2.218713655922455795163217478242346066511689124521337268622179156573066277789812359368692473807879394e-87+0.07164116545597269528929982899070008954395074045295723376245824349460032040199451713199103492437534479j             -0.00513245658789005540534200241577772762061759008356636397778630758185818143861616018800124153877789238+3.179024642467334571852652529325630468728332236190004109309967177871042427327723352710603727106075149e-88j
3.889411441850140998185594590853964834577470440938999760565872080567226625011677934539900109219266505e-87+0.5232290512535283004771389689318675859247436913743652889207509519935282828425594450782622799719514804j              -0.2737686400756673451848691389615055848238892035546661651083699190269742482378646009846796208847161315+4.070106117307733662810892493579469837210950182017212039081658730784711922893067462146587994012615296e-87j
