Npts=4, Emin=0(0.000735), Emax=1197(0.4406325), step=399

k                                                                                                                                                                                                                             E (rydbergs)
0.3474767502864186496866513950090809968962683948088490624745015305635881270264450793211164483511038596-0.00007008812361154961467003032795680535614832532311517722718969307559863367842193245396927223072520999771j            0.1207400870772650717591893319454568196365753528435614296687142610743232213909106080364197073115737554-0.00004870798685242813658637122008312996783459653743136918314644673189208831838819810158035229111241346299j
0.3546176493825830568835367344355380837770783072705550985388164242959854566549029705564625835886440007+0.0001398761117853229420752313000201646993631862965234881040847094689552659071317386595804598676466687256j             0.1257536576883019613247562727003165250290242670011175313603953709451196964666936340485818084562229887+0.00009920507593217328971258770980552389203824278588669544252894294668529052828095254715505236051640469638j
0.4340531903654939813661060323933909379356102686156705650231009550478265973099637593510517277359217945+0.624726084713142717908234959085195116111213794384779433499570680737022318674882251851886624874783421j                 -0.2018805088545490142833255178958959104605865502429896572266416212118397775584478552688364856389451489+0.5423287003485669111968105489137506578422735886213047129380192796375574046739847209109612142816514004j
0.4423178520416328337876078672871854198553457108094232036968641367217850986929307652495972716666023553-0.5839856028078931027040469738409102012172835512922289523615482187209252933915115604753842030130230744j                -0.1453941020521744892922839001035717566583040794087862961172019322431474943707948398919775054316112905-0.5166145149144508427394528979141741478599978714717775169538824101204254281820341426849830334256345396j
0.5710699330719362845508945660223339989293033525171087130544824119607091661245075045775417161541239127+0.4814173887167679636020885223570318487918697105770105117153061052831861051420139154796643794126630132j                0.09435816629991412121012204964977532980876654904182543126809029657836935479689681719943908524059423364+0.5498459919083020304265383406940196851625592476264316588043060789923172976107584522597793432383366982j
0.6101785759661535945173009244846473445746982593287117046747813858394158734061329266804305202620022598-0.4754100479203176323376429193131760865435007557135142893633198695584710160406062015536695067316517634j                0.1463031809044843654647221254237971931009914065714186012797876390120119926098930687562118366967561181-0.5801700520800405062300280775368177961694680150006201962244452880111782252462714175060675829218544447j
0.6725444179778921766689515543948192672952692018691266213669171356970356018093070569005657228437797069+0.3608757717455178197438148527912944012363694655624270847438099297661419074998469753090165882648491781j                0.3220846715202986601052619249735640292587678875520611162651923664999605298327610620779149998638634032+0.485409971741823896764054393950221861059147444363694850743107358908987066535202415643347641962846725j
0.7261438360513646343667698369783260204765890721827061204640465291259643305872596737328564886318000214-0.2839666421724340534640997831799315575019738406422901009506983546561971055956934253646041844243203884j                0.4466478167687039189832544176095780489637596494158193033847089118443443991909439127270847653033442494-0.4124012537154329595739938878944599467579089438762438819660460767023218315665480853284978524325504146j
0.7501734944473484572329226071905122169535229274311602352406604105629006232920612303931029120391303316+0.2911721602186072258211289470478580814535896983128220520142779828974226734459629440433708451247220517j                0.4779790448849756702803019928419571452544026448246288877063156967074516505899948704810822009955998247+0.4368592738339516061417092501819536266915166167428564495137169406122501267294591919740757629129508367j
0.8218948183020913795266344090148955496505823267126756794361765453584153229100538945899330519592709554+0.0905079895676181613831652085156195309983987872032414295929235848290286174826527552171593893284360565j                0.667319396176255724946557568996941564251787061204931243944576821680913430347448266064398087311347194+0.1487760952811302217403504060632620240450981047392277699804734084056880041076486159111999136396425823j
0.8301168017434567377972548427472090150943996681665833552180824553170644093548142736373704686088205402-0.08957166385269286116084315203769673308715252310034441949409564166830304172220097952466971700393349434j               0.6810708215714456543451390955672569299682385910420365911770122294142537803921658342691469733262171425-0.1487098862484747802987431796672168769765040756932301468712759462099873861284002800470927600577440018j
0.9038902304143257257994112666849916515039635371919254412924455352727140808218541943400405701976333279-0.1132369325568956705066327731695085444974728693504111737044264076127676142888007003530132666111467284j                0.80419494574356791269251862487841959114948993892393157232653396031101485652231409706044237582156996-0.204707514120527779938358591977155173516040460664536011308859872128406740570245869997728310122736741j
18673731057994471614595837481465833088141040725598185195409023921244060477611694823426671156.41316994+45082374780317938493373365795403612837113939345439921651975237050305559277389378853969204797.65037006j                  -1.683712284206739564831038907849022245978475350542007868325128542298229512041435354345052466814241849e+183+1.68371228420673956483103890784902224597847535054200786832512854229822951204143535434505224625416811e+183j
45082374780317938493373365795403612837113939345439921651975237050305559277389378853969204797.65136851-18673731057994471614595837481465833088141040725598185195409023921244060477611694823426671156.41558042j                  1.683712284206739564831038907849022245978475350542007868325128542298229512041435354345052466814241849e+183-1.68371228420673956483103890784902224597847535054200786832512854229822951204143535434505224625442274e+183j
complete
