Npts=40, Emin=0(0.000735), Emax=1170(0.43071), step=30

k                                                                                                                                                                                                                                  E (rydbergs)
-1.154259818099027347095189233267846022173025927088951786865031521229793840858376820414998746248320563e-76+0.0027594626042567040715455759514216720158167768783151973460496918561245275582853163995793928271358567j                 -0.000007614633864291191387515011619527725302436320629988839855389166628402901933520703012558931666501384999-6.370273607280823056019957834185803671704865172127509828131867766178643704943507454573313175854729335e-79j
-4.619497351529068411342097845449175634864654695496302029217124754858249796261631260657476089864532406e-81-0.3054907235063205016571192849180912227531925497318670084619473982022067460831935659982648549345129353j                 -0.09332458214841516149827258729205829938243882349906467009660378339350087280366383557317318243453689052+2.822427176308292961854581403109627399132456675564262394975416546678050894915355998058988664459327886e-81j
-1.457758250961889773408175133201293035537457656617933994611342904627273087931293374765859331318288374e-81+0.00004153773695678541842034759154562652455319083910638471620749555036047237583692898371193896906886213908j             -0.000000001725383591491097153426207473515749404219096516071760629850382574164604495802339705286068154897383092-1.211039575500771231424287553850832831534694598919022181361841347116392260231527050119897961087443573e-85j
1.457758250961889773408175133258652956831133948858739833561846917604010960086726025764652496215676307e-81-0.00004153773695678541842034759154578985491048137136709064836037088353301392243131569932147938174698601156j              -0.000000001725383591491097153426207473529318151055480333243066554281248047569267820005724321204219788639473251-1.211039575500771231424287553903246781505323947766738340209516986585923217125552009383273092919391696e-85j
1.263202992608688524834760612578604182428391862671405291200996947703190357373877541393276760808478103e-78-0.4298419003860775135635575591632812635779347646561125390781922234164835716131955064657642187678512679j                  -0.1847640593275145841039265504596334282072976594450808537432270619252626316348771876314891869785198274-1.085955149832597805071156261716198324826868824975073349144139829556903757745612245500390091108978703e-78j
1.288560198892778337960704898273840058854238286804353974554579884105136845838996110445966876408845875e-78+0.4959514046102452656798713588697363494856282974117858294852714435738588507426349449885433327513687717j                  -0.2459677957348752089689697142263639718554338466023710354621127965038371209630728018834736380894503059+1.278126481131460846180458975940738044787854476852210814563293552276508305924409618931396208160102334e-78j
1.154259818099027347047554083051742200342947731880852361392559437602247849872770566159078415714910933e-76-0.002759462604256704071544202551296024114217315461363346865665909203158810168752835318638427462450361581j                -0.000007614633864291191387507431926952911616158521339110934536734591869844905538602104211077652590192244699-6.370273607280823055753892481688410311437080115208945192381964675761273967535749098121293734228331577e-79j
3.740042289685881623075130484226799153426835587301617584750124937187282051233497765886773877679153567e-76-1.584356180753606662680423934376276359306555500767531211131452291441139931552064777090552543284953639j                   -2.510184507492155147181733052934262054833885533033208724183029638859207591435126601960226744409209628-1.185111823588739519296268430993127542885963938205342871002020521278478164866821496223678200161089363e-75j
8.573416303959560577054843467102701251497421393883733669064986761181403012165947440561905959179791174e-76+0.4525927139160562641775531912659459664508137668482100288768963791024851712323850676268236957963074431j                  -0.2048401646899011495686861042126599010710064882254868613884515335290609314470851325378674911084989575+7.760531505082443749002436097368786477556397149705513389058540244916549520515164064940262126818279929e-76j
7.214042783057623379358753610281787986703487634532293475877648083464983276615578179070723854986740412e-75-1.061090792152755047023406926316669409004724201236839773479000797172258088949876317990699330536041329j                   -1.125913669191361211679462300358404033265794097975483117746163078595714567765348950759535457571977842-1.530950874259695843559266590271467500881895408394711656780586294258674855343540818159971257049050442e-74j
8.835916668077249117354345379081106206899862639892170790302559473462244644274807551392296384193429508e-72+13.35829435062163257935100184606459673294367729326496816175075852463328992273277904443877285654094844j                   -178.4440279578498244454272563179591241521489613410196941122239426189660226943715494346791250659760858+2.360655514194796718344088184550845193406978112507434134072447751960481992688088773104730362496545836e-70j
0.01850006526659081684712350035395148425979224584213601411081599721461671713687128160698026507357425774+0.008999456845334481163606821534203474779892886312988760566158185954851039763894996863617745332808439379j                  0.0002612621913570822996006214388296285744201820619276945272778885452008804379350427727244689378624588839+0.0003329810780051107996923166865456230491206516256045905321464863314740072508017146465926296752573844269j
0.01850006526659081869471200635691125714938416965653573812020585654940219048962362478935014408655905048-0.008999456845334491452688563091340564549878329579480214192450166351100474563404902210351317615845793706j                  0.0002612621913570821827693431100202713808657193660455606911927492328429674733996710503283379421676761139-0.000332981078005111213644270246154834938983249471446775594488416888671186717990139737491094384158354233j
0.02605028686564113909726115238971380670625167781756745354236778474754264052100056821257569889088956545+0.000000000000000005439163498321523590145706982408207465004343178078953693541350125676337774646437828920012633278436058j   0.0006786174457821952430334513704870571408221817236464346881873566605412003160699373943643660833945867638+0.0000000000000000002833835388807997918046600544716966088482260591946945387036892298974741371299380024681499396777373674j
0.04820904313239246314980605075183323580443286730485881098715726246011728862610784857199706766307092463+0.0000000000000008015121511917654874357225801765351520262023440035252519511915574022074860823053749116868875702628416j     0.002324111839740876915257594982940952944060296392023494530192279103866606454572023695874414912391691493+0.00000000000000007728026773588098314096459560691410335095257577335744992683604652258868254281659315892008232045600141j
0.07600506778748165800865635390945511762065988140309589961732057389366624274022288983968054671358985136-0.00000000000007120901267127376801286592240317817708884494828191576460027378373415724997764730274165128235423662165j       0.005776770329379681976565382147066614536654143969276103748232893070004260129547058461297817221443298844-0.00000000000001082449167031960615338883503234959991698688232533691867783089750840830907062066352823532086453895611j
