Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
-0.5371696704142540261074286294802417552285470665284843444383996354230900938299004886262950828227846294+0.3510030674378751717484501709006343952610193030684762621058885263706021741425743043568491897526620024j                    0.1653481014621607514867538500397932462429418243241503493646550947756440769554094715477855965598202676-0.3770964040999911707430107491491722500400638583507501179254345955876641809217935174203396634300307675j
-0.5275700684834367097823216688833872465745051670887822837711836653182595507339133168063540818789113365+0.000000000000003192595055154833591196392885395885637948378851907532757496904403735375391156368817559915355155284597j      0.2783301771596180999408224684563282318858618853121222944146037821435494653978069616204232650029109587-0.00000000000000336863518377583391473505544858247662129450365870161996547571575013060533006771961949072420660684663j
-0.5240636562565731187887037263273162551535732148352422552524539127613602683281036338196565507106133935-0.0108646188403544156131581341187788071999770828408325751813374630009626638948856617679969616634783488j                    0.2745246758664614452665945562826767794849453403551954611889043996710142398537304929934374707598421363+0.01138750374662036904459075095174983472320506741314869068985528007449367374988039471732020632187034846j
-0.5240636562565655319212275500706556732354350648526606768901363901407351042685252400592160029672327317+0.01086461884036925277228399323982994236550572558569374701329484856594942244263354781432842540958409436j                   0.274524675866453170863419205812746556350873888396504295481983613933075629649368664887188733205538372-0.01138750374663575541946402547580736801613634142607298900144259070959446544219565621603556010436408327j
-0.5224986449597863722356549035207083131626521660950078181159043949710920035781649245732753854300080187+0.4113734746406827638239984127691799977421547622204738740845140624827662524808318807207425373079768334j                    0.1037766983468644279839338442884765520527372173289631301510205101899083386841511779459356151357845289-0.4298841661443115723831370306020915231208278264456689492741821580364661388799374034907603882471829004j
-0.5085277547492608552555598874409624491279139768566383276554069917756801968588037536406545431644939254-0.4721227905048953762746433112032987677066288883776885893087228770692520410510678981708939176975246434j                    0.03570054803619506866316160670019095365385503563120765931044995826715284894281503273087203247552350758+0.4801750852428201950025373774203333584054969478318732061352083884365913576464282942623779831405206911j
-0.4674068236711950063620485130441398401842083190595466084744836952626226127310750324821307602767630155+0.004348055526777978227383296883196823267975127510502134566900855906779420381433303224381040131937263079j                  0.2184502332275316360030645345658328193327409683937942812864425343525001367796112407879609263403170909-0.004064621645834558773165367389081103475256694554155353758100194612709215683748762983134368401994341643j
-0.4674068236711717960219076024792129934434262150848011799523698276230719358395784851539286900639493384-0.004348055526787565287099600331087629187411478858372673687824110356019172077797543027535625853702078935j                  0.2184502332275098552902053828774394851487053595455074255450800157360752546913169977835298115730167369+0.004064621645843319047730597703143436603394492124138044818902477344352199743346275429530964445315202493j
-0.4617386216897751004363573806170078964065526820311330515445238045170557755935769281810192723127362546-0.25267844008684290094552942120159597303319628141183573242204604797520557862049369760031600000034998j                      0.1493561606752529913475065118692461955662398586252275291331947447338491511085778746739580513310397066+0.2333427893128425154304650479984641443264741094242611341640944866610441854937795903772926084193404171j
-0.4237288167215102608878317517198384613975882007078734688692262551085299265064026363685749176910609229+0.4960115937812625757121724029501825445598194684985375653791672993073109356800781453975882768749015079j                    -0.0664813910452170053946455278710005366425621138873969354622658912322334333640670842407015707561989528-0.4203488114261696172482743108009644765915763921957453501713046430867417436170459007896476191610632027j
-0.4236995123030825375825323440880581487645242573942223274143228635262505144017567564141317881202561339-0.000000000000002579422732445009800360644607697319238733170166137220478410152565056658698088203170384293296193600617j      0.1795212767258699906307402524094663544865257430968433234510693438065380078624405850702838267671683798+0.000000000000002185800307520870412991050996590337777246051226284483961176468522143009658689788289940534404708200985j
-0.4204717673977044220524974549075971104994722593346318759410685547351639304392768824451982085812844708+0.3715919264516484355460871241568140199040738959805655867703088811907292867448367739580116140650490142j                    0.03871594737450195104352248878642007081908768512291919200032150943753132876060110913601987847524395902-0.3124878281316848202113516908782947316311365725246931889468761557740505938705245895232447672629742332j
-0.3781288071849002476514012009024775940739983979357300013320819795720490878525998535751179430609144565+0.4345200891570841247813616720928550719985508977172220606730747920897188198811236429958032789527125067j                    -0.04582631305800486763459830332348696119099676928529166738930548528509126134000293033184272401771153855-0.3286091260216894555937384185380506155756927134448263980404803483018999553081827422891103901721349382j
-0.3762562092016451671720747061748365330154268992385436868149859272290830257729494436000033151412308463+0.000000000000004107133020729835345652230021630137292327192188761244834183606990740860933007192962330639701822410863j      0.141568734962792173367332932647251183320017737453473301625513763171081107362120901183012766154962827-0.000000000000003090668602133419569824657036508290649807348990166259280320504333072178343045137415526484584848849474j
-0.3694988269704486559709656707634542035234809828183952201506958688308812805986023023743600508666602347-0.0000000000000006591762569806857682049359064161067269190544715915857242029801881539319425975160150588387292179421613j     0.1365293831325375550908700047422168749055237498145303449886329253478958430173646319731766783720460895+0.0000000000000004871297074422688173230206521374274721387180637034097426315467564991385934038611101727122970038700926j
-0.360204254297935877335765110741884045358692429998232736507895008078529545134833978674694390496051593-0.2479205822498709341112994176222067627857546632827069926094443474079126667140981066991604462750344835j                     0.06828248971121703807794585297187708441778707414957675770340145107211961063852766047431670749406212078+0.1786040969088496752001055426816418691735180669634637158709030920486367785375621105778382670155378874j
-0.3488503666449948213784391997923546074942439611340631621069886546038518394624521556058208510750178673-0.3182832757334873101190161086023612467880386083632396761159895656639764245291789993477058684621201693j                    0.02039233469670820341871879056456461522787614645879655815067667930207502986327862012497234859724402973+0.2220664748731940623416788650353720964084295152333867033791619909698300914632357315495898192410589291j
-0.3429197675412809226914629744907227590997071113230340296357607112857092017293035639957445753278953203+0.03098398345207475361555292097286257633194297317116726276067993457722229767146275756165834410100146817j                   0.1166339597400077029089094861380827877784738376515338692011448448716992522975712834573640467910664825-0.02125004080577673865604771609095141611116611511886469223053045717659119863527195316308687111900913856j
-0.3429197675408505639888805441207320637746124099100899495427265742397563532517540514825428465447201695-0.03098398345218589444247012194030166588010174486737344224742194555640108384861310338027087275362969293j                   0.1166339597397056587253276855233702872183017794694565344804988682896611344488417358966610483619471748+0.02125004080582629497527066425064743457388884508285525878028928113833347160307494181188177322930764027j
