Npts=22, Emin=0(0.000735), Emax=1197(0.4406325), step=57

k                                                                                                                                                                                                                                       E (rydbergs)
0.01868007915549919601979622513427536329075305313936517268958734203614007021562473501694139402924804952+0.00000000000000001614267290525003165938285862990534367036440118048575972208609587507958627672359435935474363575589809j         0.0003489453572557155563525580616228483869829207089784108059263540355917819221429506870387380380962367214+0.000000000000000000603092815302805529053401959124681064478019880243994203007141093073247926972808369082146169968035414j
0.02780275221497512425362765714058899843222557029993976807811071781304511604944602691550024926383803467-0.000000000000000005869099786146249793580778665403520354216844792061525928498930411413057256742895084667829078823755742j        0.0007729930307273041777998937515042658199290121448916822441028715747894853621850376431924096975182136599-0.0000000000000000003263542541583753490494142819914252181252729269077919737826452549680637337970197546252914200596273822j
0.0742926220092351495940514325662542419100652265264643578432490209773610206658804409530046172985324289+0.3816584648606000249890910549975613044372577879070752118413280871360998125376559244581603910832824175j                          -0.1401437901147427730961346995798107496712298627006318748807914101512768659859516515195776978983447785+0.05670881613302702673305751826833972418411489934044876710696607555601907041933633034767060275080730048j
0.08044377365016380217597280343300445241632781708358634620946069160200404232204735437050551525849614203-0.3596742345127905249910339180593669816697556929783301128333378283676167290687956720108568715326519983j                         -0.1228943542532830467673353910456293929384379471977635976837073684756055719923653044955262340486563103-0.05786710541788570888899589653450115814311602411302643796592163538049209444886723979205603469778949972j
0.1018710270007111971799294346585902527686500893117913342808382709872317093657824551025747107190301381+0.3860986920715972093680690346760751314404825886200683946503303470404252009859744781388283031466824882j                          -0.1386944938772184120066110257037369098014136896040118642933527323736637927216562441329888988608856682+0.07866454056992991509926995335344987424982206534000978165826336992240936103244788074838130265046260743j
0.1486845729732489251134293697866010241930232328123977557003494065864313404451557951372700182220174305-0.3772249162111736565958652570321842485739418335143243995883327439539169455367454315390050656459716464j                          -0.1201915351702896010790564834702899922433014914413905614426146269995911355872961770439726875841243361-0.1121750511634559219543188429907642602714168353085525961818319752655032648580244171208824587295671025j
0.166889366353348306961812609309739766736440849528868706287429591961325159856346752020391716995342111-0.2843015095944223675959356215494175840171628898710640873818727368311313967580140398890495896079093013j                           -0.05297528775584532755817673885526660535718741140531425085407411192144878795171506622976567020238130192-0.0948937975790270462923626149388815502308362573185122917320920435574208934657966716024923405858466095j
0.1684185822655838193561114025022038712314592320608036251905783148717851708517879297813777872948768724+0.3728455322962414888625585305108363624587194584101000061678032754520562064787709903644764640759493872j                          -0.1106489721009184305318888041117229511327823494773654539629564911682032473507422304645872949837131554+0.1255882319067798719617981999633967241267422907890711336877875446556155060170046714892169856484557677j
0.2360889173916329642455319128380743983258624707094484844788322953362182254346021906865989932856280526+0.4021495138287076620522769778552947978999537363233428128241474593695489958987939570550796889458001094j                          -0.1059862545575126411803088420498872433309324253993268627823536008771740123132082066875361393217812136+0.1898860866987822432283207568843946638602862204873785725997854883680084541603591210210376006555475602j
0.2536977187751283794425466969403680155150478682886420947168953524021190640276011393412833935632541873-0.3325794432930280618889295883233544196683719073980609982665300015563688048620353613560235567171367983j                          -0.0462465535893963416545964828943368385328846378544564730129836538854157052900440562550440165071155247-0.1687492921498867790536268074667762638641856246677084045103937868795953418569451251990777985536610224j
