Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
-0.135605267370416407896468914825871378242689397588864465464687502509363429336380433437043376416099316-0.3878150008782089016083174328453512745460521357423562140185085379098123033818458952916298509303738298j                      -0.132011686367563050200538658958678846616570107194598010699449044763276489400445331989192287593367215+0.1051795137686955842760893876428003673041277530116132585927309320300820069048512336476736318689750855j
-0.1294801303581439378775141311474388772184602164793725598888431045883754650977110065315298290457063928-0.3219032152124750828506466930283352461258441352217984498111064142374575483197930015113633288555654787j                     -0.08685657580656710220072274366824000893031180055142690165979389181573449019662230059851218446302600728+0.08336014053683387292178248458930566459986531379823577596742408899801217765164481903415395201414531404j
-0.1276523486786470222795666556495717333225705117233390898028553705625934913992814830894695516003105265-0.2777262114418361060310309690105527896115693416415163629941538754165316979816723789674434470189916003j                     -0.06083672639866058024225233060530969697719207183762668055600344203908028098510569210823715851809641792+0.07090480636034582154005090348793530171471524023410518875406382423229751396437194204825175018147096284j
-0.1237999923258052981050307728292734147949924012712681472821346335069713862871949027540313456373128282+0.3208819812223423609053048428736046069039621914221379657685254403756085475110868813765984128004189031j                     -0.08763880777330622480038852628795308840808864686995186748358997795144548792668273196695611385357109232-0.07945037362563036810003198386572183917554571075325800974198425373687811950966290539423309782207688702j
-0.1079572094931540601301180362889533966141549713682146066078758620040681789367472458670209205980129008+0.277444307826868719181127337707559504596000016340418000066054930568732108191535301068831282111017244j                      -0.06532058486398153410955047503884332304661989388468882678863616619319717310005332678347940823636523279-0.05990422652549677799401973463532293034520322308566027068119307468859198085065774323389079986603666659j
-0.03599274762799667961247748068175007542275199482674052979667975229728668408399438373117596746109528101+0.03590333133971936975528422098127210421604137681384642397236104220719073692256444367258509599423320007j                   0.000006428680522985532363782658184891177071179367002233716817206003731717823245822756674297983370238674426-0.002584519087829726389943527608391988812466090729981065246294668369664610917091466049896951224109454387j
-0.03599274762788401641917660708027574200481942952552266558946394991512442094298348579767511606159614256-0.03590333133867824461967059173467819615528515892678585585211445623739903151834651563348339789424877417j                   0.000006428680589635138015919097900923025410285553859361404507984645520015727137744289355546583613917264441+0.002584519087746690513515407617403616368293021539934528471556956326208281978959748497107151098991935891j
-0.008210270666843237525570346279067317154904471194678142760537869940323633000834049860439278012805276069+0.000000000000000009040482766977830136617311797237584323666255255826072999002706351163463981695696706302249826166753088j  0.00006740854442282650019803232747342555781863415517029188684085042077872416197350796183165372210044358478-0.0000000000000000001484496209516397331227752608760501627002080438563792636005777120671845531043667364478384206634604396j
-6.271555778053629493402771378299414222862319381005599962622672911579809830641250561007810538906116246e-85+0.4476683021848187110882518728539351737965500061915933779624524356097658939725343812998473040644519683j                  -0.2004069087810381611755705321060048223193416427192660251941222689356724726920184486806918066805268718-5.615153454437316071333378599961866030405209856980463602787795857870399653810636307576053662587781991e-85j
-2.361031196632229413694683089324331228672841486496964925160202774312099204108785796818552703984067082e-85-0.448120195286406721569597647378986120724513430188978672636958376748148050617250129874007404832647789j                   -0.2008117094235272969201864177902700289174257974149199053519175377411919875085165007259197215809928393+2.116051521824266385401155881474757319421761396892515440162910269721918458564525051000878874667652059e-85j
-1.131716944269337845846646927624853870126170745420514509245526839019510391917296641722709260843058909e-85+0.689284485041664421655969691429217721334366840946785269554913821792197710672250019688300876072100921j                   -0.4751131013191525038496517558967209382098553952845781907758690068619863256542154671890586806708299234-1.560149862287233140653317321205784415261002734724941912834167587332579666445307879726256560043891096e-85j
