Npts=18, Emin=0(0.000735), Emax=1190(0.43806), step=70

k                                                                                                                                                                                                                        E (rydbergs)
-6.922480758544454490406578046783341020418057119316870295173692328285434838650123769564201864465165826e-85+0.05132694130327325308939665679970929778695348542389961030752569008837465772141433638911731306598056682j      -0.002634454903549657828369725897737094727261362867548890172801608444876856615647589612687042888655370013-7.106195271336994411976287848187877726601247856834989334390092593955647863895960351046807968695896895e-86j
-2.812425751011535136328014056035324766205146906987842219791602794192486438945050175852578817226822233e-85+2.895887274252777755509218158555560510513917625631209287426512106260059602719991196527402476383257865j        -8.386163105179182846722753103781801879777514894130870336653585334890332329361196051357112911252018499-1.628893588427023179474634817486953493298250127640287495469324330637522681223581539544157367324316278e-84j
-3.948376479200630220030745450232504132648241684080274705510718882779608132697614318394116996433932008e-87-0.5663451225225564027264172575705196180279226213397923226947562422529771736494423644207499507995692205j       -0.3207467978050894235810130227537362948120324906089347752964660112657672955095504501512857095550506462+4.472287521756121588041754707102945502143116256225417288165536983589532425629885353779002826673988328e-87j
3.97163564117993956187923361613304228369345334797228615963022896285721686068612921245879982229470179e-87-0.4425489296353398814589163418830226081901427899749992368937788082733208793756390391277167509646053355j         -0.1958495551213850095849175341740888663671026485839808797592890624755161554340062920794393341257613598-3.51528620381149813371930812946910051039963998787483542702665746900748350504828634122985059613581964e-87j
1.039939176000082230558366325149949858807896848892974040198152518040213031215356884728968479283220674e-86+0.3610628712462361717714605477604463171481135784129852052927069225413014870064920013486427053919947046j        -0.1303663969925761193083376547639029593330900712338062518107787445958712917954599262648767393667637238+7.509668496160692559498301378415246870526647300980712509338911948915052795353191929726640770747293726e-87j
2.822579758415872844921223197897520084996278926075263963399430324630786545950950317545491027187496567e-85-2.893185197302975712000954664918898201040832891961561509391086067844000099746829575578678407242686444j         -8.370520585893058499115188854885388386169585551964618451889450535617537690670216474696099764031976435-1.633249195051162519349178254491546321670314435156841294912114625215727534181681996735850981488858699e-84j
6.922480676207708545140114071737140679089323556086959871856081632050886204031601028360400654443609539e-85-0.05132694121308900417073742010269561859013980314417201735633011264155244049971865924055270710524408008j       -0.002634454894291894535047310674683093532246458499862982940209435436313930607935789696514822058590500377-7.106195174329153478517521481319718229355720501118086096684304494206059004536513577216698433139690135e-86j
5.055130137082187428794343328806902346930494275801713033506098076312416352543846319499263491240161918e-60+10391416492182505592393238.25474411088110136825322714431030830014565273867175944494176384044148918667j         -107981536714002569309387959790521308924619696235431.8471104208315428818363079887989610894775773420021+1.050599253532093054546034225304637011723766840527320604974730527421373092501977056870768466770692187e-34j
0.007297621567038643749864482290615764177545499871376804987955678819777722146533504789063967860685269019+0.005284462471403466485076213074657596303518981674293106484994821172896781870003177719412122472622758206j       0.00002532973692403591757533724758174298166981758275485330311686978178035783336648405788272811180975557808+0.00007712801460304053845193403126167952851459587149915955925577773538172118017778215271058727975699543888j
0.007297621567039090941919646493970782836643880265633304845179067133655146054846355090481269471551193319-0.005284462471403200950991221006566897622384425985636096034119843318035346433964576958981555799358490679j       0.00002532973692404525086192403504635495069187348906355941248340729013169950364011833316262215413747873509-0.00007712801460304138925666923709023702888191909387235506410690448228759916047628414848741305283061801849j
