Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
-0.5924490352730992403161672687716175393111069513607827354415879866162947980261573649882489464431659017-0.2055486926102720396510445539702147614390376625632273007953740773378409040857072378427171624098427066j                             0.3087455943622338844423553302414803762045219799124529078435505735826841576319676993200106142306084761+0.2435542492772049855571795234115515259330587258905785799066673125072270464994674080224144181413508492j
-0.5807011056708976902752579479609709470904231611059466169440480724381799094930904481947366117588448165-0.000000000000001143073787905620279872007656063330784593221589537426510889399039669904136907899638137673534502037565j               0.3372137741274030856196837998973059769700918012038565354220378418056406316275413806349340480805063772+0.000000000000001327568425000429792704309666909189474532079064141554587427530521114857425203739580433264267457339271j
-0.5795278264871538779878336446513033617247192118623543087002591357633875461467383528926707684355497792-0.2827987833817741167411043775557569801931662321812350997939820795140178430785055505234241675482395929j                             0.2558773497907131315765159095965062691511376188262309030348954346942411335035681526696234788424157519+0.3277795285329020118254300195272460130741723296262608643537964854809929532792384184605009830244816774j
-0.5480966821386063910981877189656275466886824644802059647587250973381274360471286377911266692698633112+0.3733410946920372189534834777495406700590979886840729006413132205356501345517718840158330235609902189j                             0.1610263999854998288444961558049336573927123242059553496394100779959981268565434814943913584208018879-0.4092540306134017466256437046742094053161777343782509568317334516851559172370036062683831762383931586j
-0.5427268325458636108510671364242219895771160726312406432854999743233862973321804718490318307432496169-0.01405403766974815403016370333025286365046820959434595791999835507186674921154790686972194317288797581j                            0.2943548987904431806171222337608921973643522005013390031992015485623334129455191024876169039480142096+0.01525500669796533124816884778869580310471599147139337728210026907316871592750231198919769795849306763j
-0.5427268325458366868271092686332822112205649291585724311666065917221973037539370666249244661824135065+0.01405403766977853780860714778913477537624605328170315803042100662664757769835878507464052784855104731j                            0.2943548987904131018071045615967304782768495096567451153961156701737631199833808592358199081296368381-0.01525500669799755464934576780384774533439406276610806144338292648360626254617419611078833167042056116j
-0.542234332630389261493829739586865621296621848979463580261636642446972357253032210276355631834302539-0.0000000000000001197783052466172495592826079135666548050734699287536346217802952411631796867745951660440869995269108j               0.2940180714831236246095508029399577758725108327900339993992437184708289076535247253372044103015683409+0.0000000000000001298958188179971139237049185777051284153209730990933802749353492566785271977370954516349338985725316j
-0.5367217541766735778672843174349582086994079981449673122221753670094611499930701136467662987067838758+0.319513825209194461432974164062988695370671799052635039518884383634783680534914135221867204059570006j                              0.1859811569066739511016909539910762434834279037032432054305277977060984790166069557905184270221190102-0.3429800414999558378903234707402238240937570527263921688808528655258255716576804206311045823477807559j
-0.536656230013999093991837850749763480924894649658007804715574237940628100199296441533907621241434826-0.9981760868532970759676951475292417716184988909835245252613679650431895932384029776889483619366522606j                              -0.7083555911529225656871264313169469512364068850858303721744011397251567661623563696651482994866141081+1.071354831321633065438222174879639895950837201508304423634579002762181544090740786964341070716174027j
-0.5205472124516646104663363863637375155638008980838132499928627303145351827668668938172489053213321134-0.0000000000000005823703452055694080101529172094278438086685534488566697626657941210079674475584129738859507983847516j              0.2709694003911984516786357718989649924031547486278545619625205861863784793307040249327777920234099708+0.0000000000000006063025196225455946531898551048773698165069186391496033983282689860468936764603137806907190674271609j
-0.5144948847511428985347176754266697985229779115313907037720944315603410973029782637310374492935654007+0.000000000000009559023217398870632308167740957908928200769850018450006164334318358451946654701628845636358148964369j               0.2647049864350918134623023347105505050735423978139775423566424151649325224473874745520548459114761351-0.000000000000009836137097138262268756095593945642222576207951260299710800476489781924033965689203598745491973341654j
-0.5140494863025881249614562308768650223418180372021895098757373299767521456813824539954659324449709257+0.1874230255674851524275556592700437312294747409364834999785261239944654239414387003774392186132411722j                             0.2291194838550845431606837156969415826549851210583668691330023638490429959454638876434807814624627095-0.192689420028485165598170084593435617631432788660091554040449659199151732421634655867717504594826653j
-0.5140469559019824272333923181919355603648316998519430702420551810733429296800769878452453970083722417-0.1874238570914250507229448166850770933503486945483505074056567676984948504099276153977407843885202621j                             0.2291165706650677459050526382295097900856893678617143041876529114000421846991333340842834342987641775+0.1926893264025104589512366965614373553314997903985640966167270680385502622586385522739246460731288799j
-0.5032105624791471627541681218876392965371224709077454288038160689472326628177497784527009324855699095+0.000000000000002911342414311056216450970512899812713525302959390275271701021783727740592767975909384647508544133302j               0.253220870190579670330042820482020302989528034890756030523446646888610094363662634039237101018722712-0.000000000000002930036507749729798233797858698955895146787543985016513100779979907750008064326102010152782946819256j
-0.4857555526498908832254029283958812091627433786059367971383978316469702222601852280118541994326700713-0.356017273214238894241455725356032995090848627803531564254185799509941360877533515256792304476805112j                              0.1092101581032988910215491943214245147700062117677880716506119665824263489985111186151346162334374134+0.3458747346061796169296584924948188945479767214671514682470345116165590173265329805757472272752345648j
-0.4767244702802171384948467725730138614968040736761372443208781163069192097969920668129867682430007383+0.4216501107792747239920870848746285813232203677118809038484219760511234251821375063894166052010940636j                             0.04947740464377898695603108309152481426469790031402912162760331185675829889857643473424597706269487323-0.4020218514096892345362550181553655285907166138613959278557659905943417598501024780402090593788333809j
-0.4744327098362925209730039220524215218414862170107828446215071962668324423461909707648240098025217095+0.0000000000000008536640864487884599194928588015571000707197417478978545062050982892137469851855822943737723453415355j              0.2250863961626077341827083138485638276947684700035825949166002742087715274654227711669983894391839801-0.0000000000000008100123316476435794558331504606750052339358480883229781311728663247232264401709980965963411898308116j
-0.4616966279545068114014182223922335021924989193856784273860920365985027156950882639494589940205284293-0.2526651591050048489900480014077214456402234682597688084813575762853411385657002690232627156015179171j                             0.1493240936390048657134941719033116231822514467720338815151565710472712148721637608843679767047953839+0.2333093039207393859337994207908908595780146216726980947025611699588240615185897623601439744436527698j
-0.4611517221216773853454753843579394059150418377655158220548154154631012188280493571328200660936768794-0.8219460398337509833400228247760776159514926499050236481769641795091321799071986422346061191377336242j                             -0.462934381582597402656661741293968584051185413817623847202237274912816577698973647350119592608348138+0.7580836635208542094169672311836725889656759350535857760603054377890253840429011934796005424624690931j
-0.4570516733705153396929000194546927801174048681746027358413993460327432804904507735390370175773150464+0.3234434056210303507436524991773677433150768458549878184035246149832731818099376031765259268796723662j                             0.1042805954910578730034669476885857704821979522554279629887667931969492595095208143011977751917409398-0.2956606995595005381925353537240487535832225938318392498624303175017126234037154768725143993479752967j
-0.4491983849486191800435321837828700000625775482483964181756865334852952152914641426394155420250236118+0.0112273094287072842222520963003003289777070510331855202738928637215691790315611516347226808661239385j                             0.2016531365634399228289797284936344524314242516351402679593710600022709609113857536079910307716944042-0.01008657852538743269203932043016928504095410240580513744278600737048714197731857351031222465806104894j
-0.4491983849485877906385716478091336590974382751611723016702969377424045115936575164574200683636855812-0.01122730942863435047781726259559981970547001840295709040132028500607248836997813233816483053058729178j                            0.2016531365634133603883873105617964307212219504984824157713910681492270871452288743591967722125176497+0.01008657852532120441449800985078253155400654461440818271156701566855449695084402493166634043037487198j
-0.4390226875860054066613295398277116388508284915678222819476224071269443887027262188712109046314780948+0.000000000000002767879512514150805269774631506082570106331115578698999710758514240946263100011626337652851830622231j               0.1927409202152393058013715237639200119135524781844340712494188308846920826638471645188341597717363409-0.000000000000002430323804996409942746335452610221239412857018816645768074868011334294663062636804434811287956124354j
-0.4170526327523750904697765495403817033751067039243483748366686684570036351899616813511708199594044416-0.3891262459631069095605787973550173559693912090111262942916329852193250318360946214152687551091831171j                             0.02251366318834707160008495550871702892212141728637034041627609579740043323214338614605646378118663947+0.324572250703924012080564867609434417475433449323768650981135920611817593364557895029659626629223319j
-0.4052773528787855182631766911061216440540955936009456876800369859125278732325396735806286940778148237+0.4038602756260813516377105007585848833351230199827511639340690463540717276361978067161320796928436727j                             0.001146610527661241326026978786299811172512208473509561834768051502417893092412526510718211100952251192-0.3273508468772699079005749220151944067337200396848916526491098840194884687776270167522061679448497792j
-0.4001890008064530781854125256628060370116581792302898667124020104188642242636205494387746606957392151+0.000000000000003081892230010143394443845165328324193179882949895251730644554614229727933350422074228656586984095798j               0.1601512363664673024622506737701743986493456975816642451811389026862281480205433820592149539743391226-0.000000000000002466678744241861500812946973449884000249718543757859915171445430881719314354465237331068763831050517j
-0.3857375857647692446987088565236595717891455269908968584029427956553532481270350032222033178266263216-0.000000000000007508856548499357990367007840480596938329946692815217256112754843475152340358779039224363220755348562j               0.1487934850716327086495800114477465749498178220999625295103391119632576148725649839887093803413037849+0.000000000000005792896393744240552802861571287132228106584826202794563604066674642652749020904237871259898219850436j
-0.369951687679772593416894087907708526842822961869363240679550410384262144794696908944628234767885408+0.335331865645503241550234344453484260827834627864506363505753844315397824625725405905369813642221452j                               0.02441679109981816776213532032715738660584567628788662171242464395096861666625143341783944601925550648-0.2481131792567213602812938410981721374363323895968064612082678089648619294207850265537396207592696068j
-0.3682850015079197413123137117190252604345063902860599640446268619283163870549390158498792668433952854+0.000000000000006116622391323240279850994999015406088712619167427939037886347619771446109720315239549928263032682538j               0.1356338423356884461322328568428644702699498630465105624297019117897457607411631155885024113630204196-0.000000000000004505320573223710400988339731007860218269604463643161495096527359290430814018188504275490212206218807j
-0.3602135552032076895114752234229924267908221875354593857841730604770798697385439327143817339406808063-0.247909990289881303584581503778897628693884008793001496500773341704605218788256084800609688729305814j                              0.0682944420666053112961104724439036070384583613497286770488582269825528579005355776715862503917443799+0.1786010779454216824517107682429635900816182007093052948916691429791024442552399578653382771673455624j
-0.3502835645123139048022759712444691392286235304498647472894747164007560619962136840877443347987953021-0.3121620592791372767595776585408445341687803558357801252193536275769139051092654716399631350339487119j                             0.02525342431406076199249858309413283284686526824619396746253831042565350056209652902848531122857941374+0.2186904776596008793380271933418663426463806193305839949493781786380860122859937257406195961044807586j
-0.3224725624850416389364405315175395274919588007718991096415443145150525011202454221407744467258978429+0.4339777088065361897569936828815143221729532577840606454862645646043944112709928304454092227613704998j                             -0.08434809818530163454579575810217238175744566151515493903372898514627463057882217226773520093371714958-0.2798918076404618931961191304483704959516829271874581343760888228662822599581929494436025013400385161j
-0.3101602546239161615354465498421375537567520351854698374137665518106708366044529285041165267607347014+0.02381069026362009142912376164529882993578631592272870140101601758847061427271855245801890783357992114j                            0.09563243457754245404327304210460774786690534268412235179596908701691716302999055640027804310011745574-0.01477025950987121797989505253456879722610742081688637356646374087982066900284778657700215981090096876j
-0.3101602546237170078203102813360785590878918849149009295211267010570210936221849239315599032551385648-0.02381069026366167387462578875202629414866276344154156924293147847361838416493933021101756313994947525j                            0.09563243457741693469582064696601067003552864233725343627066902408461322338951893009130166586065837169+0.01477025950988752844881270582592208574596042649961522692949860365560399279312815006399460579445185947j
-0.2969405835271682759644856281124011743581926344734501358473325211547002066050002424331972783449852365-0.0000000000000315711182647888778115648451348008937417891542418806233029872013935155398166379228764320614124355252j                 0.08817371014545519968590488960026775559717145357170187416338516634852550770516447829109012808023086644+0.00000000000001874949256030329947040293008313341461845818524247890201945839974656398871095191434110481474958839997j
-0.2768441149338956005506335741722131610766528880395190517527081402097613964423883748366348880176873082-0.001179337350482136265497837041754282928476726495212208731140875745444792912648392240901724534316547719j                           0.07664127313694575485292550600203419968984580161442366282299084402102446057537190667080109004942267328+0.0006529852100054249008586502842809480279583717960381495394462645958732474235822491898763440854002084867j
-0.2645881013133138762689530194641579122959831032451986425516609902259174468345043876464385459257299208+0.4185266567021267732382222126157875570860825552039831731502654642304770974786646701586490882661724627j                             -0.1051576990136754292998407993407791127959192248778864505505807379231417284976119083525087081884476143-0.2214743468916497094511751213298919674620184661136428298498010083175098488142292135566158473996512397j
-0.2536515215533753051018263702337994163392196725231677669281235773818396742118756393644581078173197289-0.3336948277125962147736682528499386396448507696572387080004287308174104580419762374422527555743506894j                             -0.04701314365579685377524264321810087747066957289420379910771153303751139817145813656969401212201881796+0.1692844015675829156650858776975808557460073645910420509372025046687583227282577033675986547035195533j
-0.2437930373345544554336985839007969119375657071397565184115814013253567264484789018824750615395532822+0.382146404292161471992572543344660572132881557894482172820896309780688797951968588872268346545381615j                              -0.08660082926062066532792320653937130744963980649959019779049601095411759648394302960161388703335543757-0.1863292652177293254707395964071473184117320305175898008156850806089498077574073285089692430642835464j
-0.1666732999861656492541073318185897957070062966665560207259409420458483828610073993044357068599474053-0.2852950799086807749542105589517488775165986254110127423641807026515845543899756918542804369549279086j                             -0.05361329369182218256254559201157225562544004332299702436911587480635510216316490412800621089317167553+0.09510214487639330241328291300846041003965947235635540686475244033137341782903815305646209556008751811j
-0.1618854266047744280211534691923119856102514110944969543561892591485562097543759967579909768932651045-0.3779200723704005168482753682843009829028303819462298628505301632065491435232560801032867971189025699j                             -0.116616689753438955935497781865664670928095677115605268457016864429090938307580622828536071509402287+0.1223595042763790261322502653517492714806529761871196081295193126479008051446791706314112191755936659j
-0.1528076472018397620473308883082444271534274996009924404499566852175492774365290699806932699639735383+0.4375044607192090757788192129940522490178187012101302969943150248987965186597608596942201734956596887j                             -0.1680599761058440299089600922308705042892067490506658365854732411869623743012414576934425877907231-0.1337080545656241256340340796482187596899007600667550513581854451641687149320202550308786921684188148j
-0.1225292567981013714694896286743947482325172277227938833114569963191687431442351881319530926191853613+0.4148663807212639775225305411663123032239282277835988170134402827295015964901715311680177132867460143j                             -0.1571006950812656801241307724339793847466117578349163826447339089185936437277644932349272408056709739-0.1016665386005892919513212055886934638907715996784009420416649248961729165119325792654718914085524035j
-0.09387059085788679418125248722653301791815113649260970182339596400801399819152280508157180551684025933-0.00000000000004628607213318392634518921124695464341420198886190404877537776380610998069444460355266022541963541885j               0.008811687828008779781975225318030428950054401012954979787563649351370001033496288189710848985718221875+0.000000000000008689801879265487564237640408158166653934343566970898185242087795451850912131668605145416553494289778j
-0.07781482480745705924627312478993733561008985383680245645392983236771395774434672782379123593125924201-0.3748436898145593383315312087711233461100486071207887608717563658167510533915284062896063544338617179j                            -0.1344526448339783416850879080423385428046816459548392546715071029883770592854410606667829234279188644+0.05833679210620142200902164033923582159507579301990868837719278123975595325074813156791257883205930413j
