Npts=28, Emin=0(0.000735), Emax=1188(0.437325), step=44

k                                                                                                                                                                                                                                  E (rydbergs)
-0.4235305281128241890342332871653760941500791789763192938494392900837858662535622831017103712797026245-0.5206226599803364170916398912764117193329524978016762298038359429625222261454306131817124271756622575j                    -0.09166984584147322560421413840177935326897004103852401206115458042473860568790369499132379199844838172+0.4409991802579503635071546095352001436084101895725990736408593711945507603532721235173216449487480063j
-0.4005890192140398217432327544665793344032311363580392089272263440008736319197577827223117144358263904+0.3767312910166247778199270055295812576912722821756710123556925316768465267532580886201273720828607039j                    0.01854509668381353646227108741733611199808095482094288503117730813569126146235742983491233363277669739-0.3018288367511774616245476567629620128221995474398924545890439654559779891552765125273276291639682718j
-0.368403392942619687617406748143978708851498482904069877465166148409368966561592267189068923947451383+0.3909570744438485714327516535254622567556800261500901632068274483343562177533956710500511860075241469j                     -0.01712637412605870831286073882104706182600974861999822859772381835835240387528187220995806010580315409-0.2880598254400683252685115690559730176783930132411138105043007728948078654423173487216340145357856794j
-0.3602042931349757654163092586709595585488188604202684727784488700513791285286292073431217791418982106-0.2479212304507405696717181361189357223678180216998258759242008313350652663816949729927225182436680684j                    0.06828219628465833623505633743975982896636526000697437551475676063307528627450813393701616303715637305+0.1786045831353248721361207603634297830472216359477116505071157706210320722826009418197832185406679973j
-0.3569195352129518531288448484661173277055320826559717278856624310698785443180204534466378244750762642-0.000000000000008405863334597911005320271405981646588737200380462962685593165886388631082376091598657295980677739133j      0.127391554616629577837619688483694688797593524065570321332084720855825499848244361802666158226809325+0.000000000000006000433668896559964481460284763939425063666890491868380207337867724887228785505229572960560033377158j
-0.3495327044429099273009739568864818549893465225479109068980125985478213293615288705973396476247682204-0.3165313594764870319849756106926622549473480979107906640225799428629012595922866801210731652481071032j                    0.02198100994314156844487341475131908284442426641638235730924175446477190958928732374697576998530114892+0.2212761242376148362497046757453309229387679049530217102457672788589893011759155990164464858785795855j
-0.3045532571309198653163897034051818944523917149192220301910605229727137296146382008369653475967037328+0.5044862752304758252288287902446842056648480631375085523827813304473027417995521928599313291309864496j                    -0.1617537154668672143542491735804178875372322904993589133875920257846577432512037732547754290006299533-0.3072858765985742268806871605625309374291572835749287593777714865647764271108921946798696265009307412j
-0.2967202266531219665933099388247276961887992085969608242526293126349802423639527884826414073273710001+0.000000000000007585478796340023262525724327968212415552226585249584957255927653749090979901862434809531765437568903j      0.08804289290508007149283105346141192797058403978199646882470248642889142093635128908464368713613064412-0.000000000000004501529975444925008638679623455459176834957002857446446435528594100631301469520160294810229744270568j
-0.2768441149336551636482032264126446681058098735207369712966043723840547343880490680146422079303155726-0.001179337350478204369145430339351306796497018327485859409377928845239926377172199532519629842224699599j                  0.07664127313681263704408846295667246040340755121837492901180587099597849212243017229162609469082488533+0.0006529852100026807436883238065542655667016232640427065675534776382999327532228706327180019754861885686j
-0.2628271684021282530388535845050356320745671680611934628240206223566377499905597313277609583519437504+0.3940419077086210758003015216645493009592094634305893723237970307375670584580686444616635962999543415j                    -0.08619090458036876559994285955548366558798540291500262909925176041558287891277684076646531933151366107-0.2071298376696592610173430985908446539279293152745361951971284084604847050934840320983273280636044612j
-0.2527710674871331127972819881605777289302859667369592401093497069700639384991960709364253563647163663-0.3332626249638691569829931003437892493971092500545763827856564186291592962676928288108371301727173556j                    -0.04717076463922370320378484449400815518443279289260159569739556351388942601861289999958126889906258452+0.1684782989313626062732488500805724410871265891492337616995782460684877250057855453315974668026045225j
-0.2148390031650261486966478756535679952548433698919460021809444766424044828684220386225937765822970789+0.3914332186747494062393409850503163687008797763451756700207046275608978845747374742123779233455287792j                    -0.1070641674011320717739270133268044889480960663865726990294380731890384189262950993223775012550167555-0.168190245011521720522257352464432392654424077229269741993682215777943880464196227324950790049329168j
-0.1667044434829567290849080071902152115041762434639259617483273101415249359059529055159847472414964924-0.285281632643140218455802849039342770637936199277958549805628065473018617201337271848614477734471535j                     -0.05359523844657329240179507362560161561804768337159470995677168555184109300792500796851624826902684564+0.09511543161136798411581250635275356193658829863109447108380559258891359820959367382377988379310487087j
-0.1593166478338481916880711448374220035419937201965104439932838450979608562655108241570576812765916994-0.3749568669767427402547776399471878646753505353166163811742344840113145628613070872613895561607932003j                    -0.1152108578160003447935769752759948471001405143744595432794592041384823293217654352790458155877772398+0.1194737422580335716971293461722575426453419134457828365489574315328842874203778823144165379001042853j
-0.1530150430929157755074675878758690392211170468280748750366921722906913963756036037119402343146862172+0.515030773141727865664218539260669955813657318445879402113155002698425821483154319424301789115646917j                     -0.2418430938702390816595117124404232949631875491074973686759384624598632489164668640678324522642019836-0.1576149118929184363111657539034638285652867299473976769286070766910797681396592745459872289007559342j
-0.09678064576469417275951969589259834664366619430240036857826989019965182594400481408195696794096786248+0.3929670163346281331235744306450334790935659515590706030046328906593657872300332948776234356732703804j                   -0.1450565825323086778788469240369789820991857565612873097643889876193097911309001630541905823201912784-0.0760632032101808680732610440649402314999298345292469151068732699622134820386132421287611400181049237j
-0.06819039120581079176614993014901098039078592996615178649260572407839034161082526662423668686133947542-0.3537726990829952368480948590484251457097473451370353079747264996574856394967379004955897708876734467j                   -0.1205051931636659811272129813162662117515044668572831622869085757991125286621929748459466371260972493+0.04824779749681005191065669815920926006264488439616225757108066749355634518194818614847131541284287717j
-0.0528128765004230807391532655418678490050822479146962479940702701984088089257732511741786411152270741+0.3607111038339601637398025616753786617698560580806402669127993597952739755677766364754976713136920777j                    -0.1273233005048650502651260895006404424007073655738305130854861503031120252737550033499393122469923997-0.0381003819582284491078816660126077297550936857455476314474029989761972603969507517771365895579491578j
-0.02872107330901123323513265375414266921169519351761709839331438699854573095308634802300300948852072901-0.00000000000000002184242226208473084183756269347348925883352347325536473290438153439700065297971476713598194814030296j   0.000824900052021597470620484491809985783824400002386601080595805468153647306031237955908556258891125007+0.000000000000000001254675622071429053486173262146457285204878462505525456291198388270782766080179655176865923538684445j
-0.02620646780781394282750257690827468247823536315404264574408630023761462912381005205081489989104805092+0.000000000000000005083531289960414131855729963294819606506623610384885929015303649295408124463084767123593620181886718j  0.0006867789549619885222610321748389011639359326517850993135691052971393895392905929720483577526395265219-0.0000000000000000002664427982007249581654264841739405972399238543671044598970141932060193726085858736265683171289668737j
-0.0000482323183395403970972398745600018960742999994721150688474378127054934201566538820466556754275900743-2.698907616598789148358807133591025000761184749873050044941592662269084329516939381319853209407008903e-34j              0.000000002326356532406764928568382365067583298239259835963802843860613887079272120249739922783062740744765116+2.603491426656060809746185180163440406645238212848649512432539104363355238112297587291987678950647568e-38j
-1.0094317068990607583788055724377476960311417608230294955077153053835446982507981261864741731563398e-80+0.518326024005270923295687407419774293732816450097186529984020693155258194870857388553985828896467355j                    -0.2686618671611126894293530431019084374964672986672559255635758358173927483959715170872030760044271067-1.046429446283688338648421481281477616037639470432111997035283351997353668629096880777633341243136545e-80j
-7.690466428318938351852527872041531976608330070931381636104935788074973511010841851933714968917571858e-81-0.5216594204629821724580048365225589121051722271218208007418517223221918717749434283044961700701897694j                 -0.2721285509577744233239180467690395302184371805278299907629391421195844622191745602584992895515382237+8.023608520173755619683201642844492501230605601878079264274021272869199503230580000764774109258429637e-81j
-3.966492247063422115269860027584212868883972107192881899780377218830627277638094480915607386293685802e-81-0.3919557459270947219281002405754399193934827965632995774526546445701780657703683129615438912098616464j                 -0.1536293067652652306972973558857930736712357549442193509940600447603191983084548338347172579453549536+3.10937885482356340852260533431802153314511513535754923407315083442057225891536872281312493939158993e-81j
-7.066882888370831212332398264133477674556797995414228060216320937442970938189221823207884625935606491e-82+0.0025376665813865792147403985227110469707312133726695257198290117933929644422560551184998113421972168j                 -0.000006439751678286247869461307332680489988752755965364916031315376269113311199701895806967679231682536751-3.586678508078264388075279491957160586705353467660711679450173612236627262100633131656081730537906884e-84j
-2.079659974140414648074239176840255174438893459119591964386848862024146991417644713858754734671475597e-82-0.006939636638777629956046101626789720735120801070400115516223319364611631747428508947015007156575360606j               -0.00004815855667826488171217242128122295861849137220111772899032487767883454491518784189588950606521878673+2.886416910548831988513902764831332729758980917240839022384612025145354918334038428501220684402777687e-84j
1.198089108859844416785416979341355743511660170894126267374147583653562630948147223884851419463101038e-83-0.3054974724463514535490591897360987295435780791418962020115111759996725361504397650935212587762234222j                  -0.09332870567110926556475564097085096158083633682505190736580066444065753433990157586100455255346861724-7.320263890443681737242956355659992473869716566198300790145506069439833081254741683534173225670149485e-84j
2.079659974140414448512489634072882302371131821980024270806235545993917208382542910632301229305225346e-82+0.00693963663877762995593882906968314881762606022728804657237969112340694330648487593989721939382883406j                 -0.00004815855667826488171068355614595869441231057325446531028736677572414086762238914241131718154087500841+2.886416910548831711492078911053006188649591758673088033188218285815215012521004447161612863415980991e-84j
7.066882888370831212179818661429655895374772368570999502671375753739267272259363770911284492876681853e-82-0.002537666581386579214740374068151214852559310724784703423185080564054765230257151403760455048576248257j                -0.000006439751678286247869461183217641993018993122195847848785849821104309103475654240933589729352272514862-3.586678508078264387997805696698530564788411089104866957652068940914432455964358656504134737628440239e-84j
1.864379021692814028223777359258362195425660547213134546711878875090132057486743445248402846196891023e-80-1.615020957802833214685121994419299980257716735033664229588000009071504217212436834837943858948968158j                   -2.608292694142380783028845524779260208764663056895925525241552604238263762814329058118997267265841974-6.022022386643675350524269203166477802278679364296002464599154365358860931313364780908168632751996893e-80j
0.0000482323183395403970972398745600018960742999994721150688474378127054934201566538820466556754275900743-2.698907616598789148358807133591025000761184749873049676827648614687547149120876676266212213205792541e-34j               0.000000002326356532406764928568382365067583298239259835963802843860613887079272120249739922783062740744765116-2.603491426656060809746185180163440406645238212848649157332760413829063814899056999003737961352841143e-38j
0.02620646780781394282750257690827468247823536315404264574408630023761462912381005205081489989104778118+0.000000000000000005083531289960414131855729963294819606506623610384885929015303649431162368245099940303630910269269408j   0.0006867789549619885222610321748389011639359326517850993135691052971393895392905929720483577526395110038+0.0000000000000000002664427982007249581654264841739405972399238543671044598970141932131346510474808871356834863443135343j
0.02872107330901123323513265375414266921169519351761709839331438699854573095308634802300300948852760187-0.00000000000000002184242226208473084183756269347348925883352347325536473290438153454109484969151105780655715578782914j    0.0008249000520215974706204844918099857838244000023866010805958054681536473060312379559085562588915135041-0.000000000000000001254675622071429053486173262146457285204878462505525456291198388279059846054504828483699479097368124j
0.0528128765004230807391532655418678490050822479146962479940702701984088089257732559303257535956483182+0.3607111038339601637398025616753786617698560580806402669127993597952739755677766303169381133774149341j                     -0.1273233005048650502651260895006404424007073655738305130854861503031120252737549984046460597676872004+0.03810038195822844910788166601260772975509368574554763144740299897619726039695075455782424872940169775j
0.06819039120581079176614993014901098039078592996615178649260572407839034161082526624780815093748757669-0.3537726990829952368480948590484251457097473451370353079747264996574856394967379046830343789077082717j                    -0.12050519316366598112721298131626621175150446685728316228690857579911252866219297786009141785701882-0.04824779749681005191065669815920926006264488439616225757108066749355634518194818645321800902865863842j
0.09678064576469417275951969589259834664366619430240036857826989019965182594400481446490039771987310815+0.392967016334628133123574430645033479093565951559070603004632890659365787230033295766879164822255879j                     -0.1450565825323086778788469240369789820991857565612873097643889876193097911309001636789638987537948164+0.07606320321018086807326104406494023149992983452924691510687326996221348203861324260185490150242166563j
0.1530150430929157755074675878758690392211170468280748750366921722906913963756035872909105862770423634+0.5150307731417278656642185392606699558136573184458794021131550026984258214831543114228951342807855434j                     -0.241843093870239081659511712440423294963187549107497368675938462459863248916466860851220259391327016+0.1576149118929184363111657539034638285652867299473976769286070766910797681396592551826448698896309209j
0.1593166478338481916880711448374220035419937201965104439932838450979608562655108225796913088188295332-0.3749568669767427402547776399471878646753505353166163811742344840113145628613070879499646578806557026j                     -0.1152108578160003447935769752759948471001405143744595432794592041384823293217654362980191869575362403-0.119473742258033571697129346172257542645341913445782836548957431532884287420377881350930785693358602j
0.166704443482956729084908007190215211504176243463925961748327310141524935905952905519512439587059392-0.2852816326431402184558028490393427706379361992779585498056280654730186172013372718462908455572559041j                      -0.05359523844657329240179507362560161561804768337159470995677168555184109300792500796601430512817812731-0.09511543161136798411581250635275356193658829863109447108380559258891359820959367382501793583879101078j
0.2148390031650261486966478756535679952548433698919460021809444766424044828684220379145942330816080242+0.3914332186747494062393409850503163687008797763451756700207046275608978845747374703439311179852928297j                     -0.1070641674011320717739270133268044889480960663865726990294380731890384189262950965981121650005619802+0.1681902450115217205222573524644323926544240772292697419936822157779438804641962251084951988628271711j
0.2527710674871331127972819881605777289302859667369592401093497069700639384991960710634527616348899436-0.3332626249638691569829931003437892493971092500545763827856564186291592962676928287867830021015346319j                     -0.04717076463922370320378484449400815518443279289260159569739556351388942601861289991933087951409878615-0.1684782989313626062732488500805724410871265891492337616995782460684877250057855454041040645879289266j
