Npts=2, Emin=0(0.000735), Emax=1199(0.4413675), step=1199

k                                                                                                                                                                                                                              E (Ry)
1.55074595229840214486888083208428598828642116278274550865541342054907504664751121961853662873564313e-93-0.8360669430031682260435891489189032450174073140588667686612268991791309679287511916625106865548718428j               -0.6990079331826629471260031666254616585007129259102466871816145205872575923474700704352347300462478186-2.593054855425324037516461173591912276856582734548069286283947585898139357376026202496565759839105625e-93j
4.932897118986095579892540205363328163201776155687389196024300173382764769715980426790958168938761992e-93-0.9243477370069409669165252503154648455326751816361336803984134167788167920719467574727764060205511326j              -0.8544187389098529031238121430866532301835465234027488433966809336767350439634925243934348957725226178-9.119424577645712518889754905322117362434841590575527718402442753683080175156891469690017616436764335e-93j
0.02607290379070194816233707737781898265003651454781796223758344897009458238769509127434977452054998331-0.000000000000342420244559344982942168885787933816243604652661656716426639532815606978687247751480475287286222885j     0.0006797963120792000179047393196420439476485084841973655300637836221917952610083829630612891660927040885-0.00000000000001785578018476886789417161064385734460496618232646795825110243352174064079082638204952240857671336375j
0.02703320336235784572237945651349885083148813964757311376555420680027544073428959156484992566001359151-0.00000000000001805418671419374975305124504931149472825792101685180722746424121415949291965083945272857909952204595j   0.0007307940840305955354147390125282672294559622988626854115889739302282991975015686214697250539906999029-0.0000000000000009761250019735576448605716723964530670055244334514860487808878513772176614201898732969041870763304923j
0.02710108758772986302289740907744319525846087132752848129457729911308806616222790929373431690286401833+0.000000000000005303517104880181452703883418576014879250119528595131158395878213596335728712098518837593154749592563j  0.0007344689484378056459896432117512130635639919465690578586957449212829037219905210257785237120531618259+0.0000000000000002874621631647626074326736141542781959002056692017124269647466261453535643585355914366344797683365146j
0.2573578929831888300727576791974202035117144962716984955079150942038517459199707954664766206921460318-0.8643452335270865228905454503434361877738179166201727720803253446671187066763592014492649399390317206j                 -0.6808595976402472616981943626912614506854277896610143854026489604614917906232597985085380961118609491-0.4448921362211865827263624975937680473039326931759405056516956741005130248815856367620994280660355043j
0.2610293290839662547152237644086794019484349038138001102448165367950894354302174781326244747594786414+0.88387065274489591745528841903461764892264621226276721239408808233247844329500085418680282904621211j                   -0.7130910201416628337605916168541041126644256783828692537467200246069306963741540250193568282251426984+0.4614323269660149957437646936745039466798331712682614194895391205703166610257456046453371825921633568j
0.3573415808727558219291774776295378504484584570568212547081814946501711962607470407966308033904556823+0.7617738746126006090482042578465132285239557590520032640641352857885134617675598650998737003885170741j                 -0.4526064306216538652276549460679157885505045026809834740583448163614856599774777694856163807331479632+0.5444269612432623472158840689863640881593293479757374684558332818560940011627063473800119339191515237j
0.4931328367762926599359611265729259246144423292876228640789432109447568059411927771175308396695331598+0.7504330467433812656439263442422587897173826638225778547056049346213884869420810215794996848320484925j                 -0.3199697629375201530625908305933178078317186689303747300938262794871633626584603537596959634045988891+0.740126354302479667433051315032589173194624230961372253424720889915363248715555190645916733122938236j
0.4982645729125683701691220887976145208382979888478229383535265031213025143901668702449758457346063495-0.7744432288678272074172407048384825744035688829358757965562490374859859616655168540767826500745857083j                 -0.3514947301194816308710995299357192217815431394399950142416453251364948150082922282030117436437802578-0.7717552493537167264602642837060481744564934777001267898899436272672000807950559191757322577716568928j
0.6620656145474788138330276672327689285694140515374337683709993769493993570652358017575900472852927786-0.5920488987147682140804672086120034937796601025528118104084785205139522922323268409507085529456783227j                 0.08780897949676091891001237533939449172070373996589380425010067731802319976899599179886119283552525844-0.7839504359395021146447592165511390127428903659595357693645447500833363988083542973246183937525638866j
0.6732893858130371537718271968717017179419453154313634444870457679680238556450648588530138555730500716-0.5202130813553151409293104999420148369328229751441900254075824952535296318542117504765041442133361608j                 0.1826969470353050666475768546948502292725217656422175707663027576595105448469375682936864306734364336-0.7005078920752553214749624058748509799567076063377157981748912491822810515532365769995303487317137586j
0.6957139040753561663263431334098133923869281042900596622385350560927899746071968807472433638346705553+0.6031615779537702844197804009163557593712602556163039555173318002838263955482545547792680560333091832j                 0.1202139472040917737340012819166801346265948895565858673548995792273006227685961284800562275477596243+0.8392557923729396005656393814492960891572058462905228824482230707953926911834290647458966705630680525j
0.816827834146627743755750147662532519239073117193039690454886253338014055476463902765924328053709961+0.3794934087148608523559619881798067274777350056057816457331958161635185951148777300440476111917585404j                  0.5231924633786463739704088053029214996976609959555098435546852675610543599186630540524695910981463478+0.61996155822696155186270600960893993005581572159216532389435106983669537271064570279130565963563908j
0.817736092184419660600928918965962936972710893528961431385775415032776229650159324910678927189996452+0.1817837629789657825181802592432630726507932045884874684530155449047393911279120143477655259061064766j                  0.6356469799782528785403192975659999617077909645119300962325610817401562159412748396169011983057513574+0.2973022879219965141389584421625686232290249350525999835905415656780791190275652015035572029902461159j
0.8373527450965310702060188093287290567332108328188564822146049329478249898315024576019518785617059163-0.3835250846635319730968393127146736694495627622872853529063884251247083848741451030230527532781219298j                 0.5540681291545267703613366241326254346004255433114403784286887271581515602246000590116262440017474482-0.642291564912775971882658523915750747026049277617402406215641892395253989544418398922954872204896691j
0.8927205025977827297085996535218643099337905006986955064813074678915739061350471338291053353704328015-0.1300140294352568826574150370370970698994373894995275458452582306929088751948928430246723336183716443j                 0.7800462479084459583441369194745890724065783022261241481211855930559651841399484278298257101060090283-0.232132379404410884402209460455785433117749337250311543736307905484001626668129180943932220360418318j
0.9131221964917988000428392850561899784831020078534009198277618989492098899256251396658380819274991311+0.1330788161718462059299218841987721539145754526979000260168035989933889006039772906543191317291998102j                 0.8160821744123071815444071786789004379099706768233826039393749040908401721396771038273192364236322016+0.2430344418587290460748681044197100416761511599893812535367730004348173140089706455845909484334193859j
4159480417040776917165964446678232108137330037509205821272403342601046.405844361064474528535561592837-4159480417040776917165964446678232108137330037509205821272403342601046.40584436106447452859749186816j                    -515195534855921374887792437670016467339775424117898.321587070042153992513509030209823610194713297074-3.460255467949143093167316653345250846783508773138509550665002786573165612471234627990105583907812396e+139j
4159480417040776917165964446678232108137330037509205821272403342601046.40584436106447452859749186816+4159480417040776917165964446678232108137330037509205821272403342601046.405844361064474528535561592837j                    515195534855921374887792437670016467339775424117898.321587070042153992513509030209823610194713297074+3.460255467949143093167316653345250846783508773138509550665002786573165612471234627990105583907812396e+139j
complete
