Npts=12, Emin=0(0.000735), Emax=1199(0.4413675), step=109

k                                                                                                                                                                                                                              E (Ry)
-0.5827518268102689443288634922137350540601469209593367889725019709439423264659519158008768073079569394+0.2786939757896687870300385080745529661151853424834939820413013888801051804375055208072429291072964714j                0.2619293595092531983687743056821668168687116831207434372450051013074661553186934667959054784605205903-0.3248188470248927022617376514889445803239775956368449936679679209219873129417054681523221297355126014j
-0.5762146363455396010457645246187070294088310233730918565998664571215018486965974254568064060488804417-0.3189042311585485919562607115272836065191543987963094868654041895763192851326617933336505148646112834j                0.230323398487997452386712593979073444729555389716592741661352639437357010766198388121043022402877546+0.3675145711721539520174408851106761949601534553751623934079498414411217469541473120624165966425840032j
-0.5557910267136555832431754445720355154756314704280937047723616864002291178360215761458530935045493383-0.1954925671144359802242011563143387859861034639630265015447794003962000609641820028434466948152636288j                0.2706863215784271580765338344531619620127256277831847398902017908474752798881082521977081659988839699+0.2173060291828411897277657995999858779903012926382497308049657166263894750759775185657660671882663159j
-0.5304230743104411368390012511901225027463182178234609957449264297644220731402816546018748083550140922+0.2047996785187268377606139555697830814303446662643553849668345555025502424507997308402779813563650745j                0.2394057294395658973370275823549912969465976207419157804303387065537949373106173190313264114475317789-0.2172609501953862017497993474985262544801272008317531405315369516585186866564503126099754255029054165j
-0.477735548529179555980836430429475489235481976875121485103987816261416783410656623699431476647301954+0.3063592904289637001043563917481899252660257058787556475448904243738980627698709541769367871768501961j                 0.1343752394963379452303371854741590374958171798069273403901216333610809291723763071297736173653694632-0.292717447320182403242530961569505382501037000055297250156205297714450459272912383285857022792217401j
-0.4579120608130755897402773473822084508850961640666103549122620691516143516128476775633777405760606274-0.2605771837890693833822976314349460239053767577216743956415897457743857593203278009492007376889442944j                0.1417829867266353932792196953286447934324629806622898130931327477031523301742718443738196386409975801+0.2386428704594406284193518060052476822575766978351198651579872064825196337364615801166598069643575316j
-0.4237083460417984860999292961209985182505713244547844243043349977458346451180538858413541356294949498-0.6411623512899966228843468825356755645077522241076823055184804066136022247828468569220237791651257458j                -0.231560398206240583282117358903524295978714507664666528784237784095625538964682071046980771093709993+0.5433316788187101021122105502696395621007184623539611971892586593165598150168250571756747379557985785j
-0.3882671548526054565399880302638222243530317177186007221963815932762361518152381053978756023825058292+0.3243718058300914804389614322262251629688795584618721685006459547108006458887412702709850991039293681j                0.04553431511986253557897165384040332730071493916575264410570989008819714732081669707589244357911269719-0.2518858363281027965362954474218524497045792245657647101024926317271584122740108275934664086478460705j
-0.3721685733993913438222603889734096445791866636629949548881155605060385358434499816921472066055240455-0.4152216228626424360607680805947052338028445883748955316988709316861353825305241484540404323080065811j                -0.03389954906654832560123932375610819323058392121418176075066480029662583712465085082520652522407956551+0.3090648780507394647543007160623780081063956207069503868820093905250562308035598291171019408750467232j
-0.339125336348503524033872293500626698591713906531327770107215369599413657477630907408696826297458868-0.01668030471281295655917952087563027053203009831402142557011439961281022450065111727869361701520107343j                0.1147277611881733553626026122568106251031019572162200207504064971234861586331074717415193919705358552+0.01131342789225644474531856478382478895676495684526263136658844250613584758612629776071183133637570893j
-0.3391042540974896061806465418297331735492731815356654382081129741440469537518315147165731678543209474+0.01651652963858185537137344833249326050586345418585209405484587411257562888954468235596977501322586115j               0.1147188993957126434887711162549875127154392732714211887446081090590664316403646873749278003146437921-0.01120165092674075930716361518667991418381330188492884146299183514749451750517775044944772681527951861j
-0.2784294117093704685186266765296234672998238860535182884309484700812431907373375623447066766255347353-0.0009660429899928522210322142489919802423887461924954121124355746673135506866432974021255711232781581799j             0.07752200406576761063410052950302751506083721688321360185906872823984547820889472270446506129022086239+0.0005379495627793422130648115746916778331390068298914885293716354318060462600536611105085830140865169044j
-0.2669909894308283480582390609953930065985772784409283334752788730311568821337200341426083815964645233-0.2927583684581303182504720976274665288734959426889166195419631123452859025356578931446369749233275259j                -0.01442327386501369815431702308441260604069200113609733163614326700367133119821072804647220057833609996+0.1563276929175824460472397194411435556562172625269277018916501635926908962417207510781302520662308419j
-0.2609979929201184989617065962047054749535453263283707890689108812044871760768233695211396244038957663+0.2878549915761975032587587362100721417834653185924924509603620784949945578705075929229940108665375743j                -0.01474054386700250945281143099076070301259982473824622552382568333555525578102212466003868229767120449-0.1502591501068503322273500599247295622752952176191055821946360289761275992937989120556346269268245181j
-0.2586837077169235801939837156409076640565678740376408349259692330869611263424849235465119109165537403-0.4056339775106482603872100909557677124669024549831519442094073364088585234287083062912946007353524921j                -0.09762166307293435044419043093691634458290495401061235187928526565622836561740344738733640275703600801+0.2098618025568353747506491736430638722170107345947051389249449787474662778428855193611860610578500396j
-0.1953989890876826758084051415055938005458080247055793002396157800854286874332732732409547688872972464+0.5541866782714584069653279671816457657565480587624668514386964520122931580864494808808689688191588992j                -0.2689421094370646161970215049958203892252489501123936081016732354581546169066897991997395964007959197-0.2165750334002076222495777043664613380746483671636311937768594873720061296298172310541916388526094898j
-0.1703001302364110544409347606531082303993725328575652517387935143007344594338357542873165115828985726+0.3377814120988199616077322627292191150001323881205853199190862011429892977057968810254155551224571662j                -0.0850941480009342696757098516740538387172273307341783628232990119127738531861455908748248545601797977-0.1150484369437357442264435174495315704740065020308891110740803647061804344371414769314695116972673998j
-0.1387652123983004113652607425623996933737503705607343744437566049840725389340302534584489564231096634-0.3503229215033645732059716332482370391402926541566978844250352590807092717516081067391639410732810183j                -0.103470365158707110276026077516522648524244174017065202766020301301723437397964507441619505437684108+0.09722526922081501491937246237880830736136851873643497419998189888436278439421429695834018241085910709j
-0.03758625725766162106009768089668515980554882388655684370704558354737913978557657156297310308390112879+0.0000000001771318403087417794800836540300138205861804918933915080218309149607875298253657886844457132703939405j      0.001412726734639120851416709874729371425363442713690904063106609850478063107944299919592704475929848829-0.00000000001331544583673480997096902157730286777360065070213287505913963358553323576106191084518152454751548494j
-0.01541059289510039350075024428217869387504851327050429905752148139918411014050494809598017031270416828+0.00000000000009156960585756534286813595157429756891256507501863535279520720729160642564135270750909174997712828439j  0.0002374863733785187277637334772711906893365022847938922590333774488002021120435441549327411934697299009-0.000000000000002822283834871479696192591753380322838779328664401888307300173228468839877387064804456147646493076114j
-9.82591420443002699991547429760012304929670513186612069942213881323872781448132177247012920088612035e-87-0.149225621639779244240991879113685419473381522484579677107189729429947496831049061089452379583275807j               -0.02226828615377855145886285499496801315618488257312471435861769860853361105020504111070191511208349477+2.932556310670415387592446505219745780996401338120271303525611858871782673888501294827451417149860453e-87j
-6.421283513043439252172813442086355069698550115704511396112869427295304914443386549712268968827281588e-87+0.08464108714524853519003095944426258599121749464414552578267492376562048295177234649241215172911791558j            -0.007164113633129556828381080916880264347414117488573010628560528005017618847649574183064408506269637928-1.087008834823714801663659302346534297789374258535880211806718272040176338474450394872367591120933147e-87j
-3.265412758997097757209854655722844686040889856026169291888168071879152064989487115876483970455959165e-87-0.5979858765356859039102886790738522647028918461601387240188591075469939684395400584567764153181005996j             -0.3575871085361525853082509899859038663152183081806016749317030471004692668341750938611904501298189815+3.905341421879383938492640411207422108459656055062897306051520888335491204741620352119997133681381631e-87j
-9.831497620909929445424532829684580794987488291656269490304536171440867684105884425191340142820832197e-89+0.4368155003873479838131829006273234955010023271886080724600933899371844595670608995037752718524796165j             -0.1908077813786492065967332512220870550954689753184239897938294619016408474578361413689349954031509605-8.589101105669584133982811137009505782666361268646601600805642396995365286049613912710658495888575545e-89j
-2.203383902172533287862799499258482234885143632691843567747608720110251760026594610508132833430281276e-89+0.7803367536902520964791135006588222781151159832711659002641685814298818506245063555947760463127774923j             -0.6089254491598411689123562795389488869496737964429066032704327416401295548300858494954501259822175719-3.438762882709349258916384601967274158150619481465280602523638750266336619487834515269435602996910389e-89j
6.42136300268270882987181095554979238562706829058607898448012943613112640103418455412854205053722745e-87-0.08464118725563573456405459712548380468218153607755555730243265997611829903470136721568271399025392699j              -0.007164130580043593091586646053119252577804279494651323025731052353113961037760594665817856058807976968-1.087023576692957015657937398849164986755918051127709697502104667131476361382096202252662959469260853e-87j
9.827303332252085433120229340768487455370569416682593101142803920564815963203839582394828564461078364e-87+0.1492314224604073081303792468747672700278438931933874663991268101878998655614091917564582632475082446j              -0.02227001744955655879495220220068313141298301940621955998288706880933715770176627817064807267811144344+2.933084910443758890065812720813640950534869221712517529338203655136469281168751891623493306166886388e-87j
0.01541059289510039350075024428217869387504851327050429905752148139918411014050494809598017031270413902+0.00000000000009156960585756534286813595157429756891256507501863535279520720729160642564185063308750647856681961121j   0.0002374863733785187277637334772711906893365022847938922590333774488002021120435441549327411934697289081+0.000000000000002822283834871479696192591753380322838779328664401888307300173228468839877402411461218161187012232109j
0.03758625725766162106009768089668515980554882388655684370704558354737913978557657156297310308394694646+0.0000000001771318403087417794800836540300138205861804918933915080218309149607875298253647276065502318693053617j       0.001412726734639120851416709874729371425363442713690904063106609850478063107944299919592704475933668959+0.00000000001331544583673480997096902157730286777360065070213287505913963358553323576106183108128802458327040412j
0.1387652123983004113652607425623996933737503705607343744437566049840725389340302534584486175969025138-0.3503229215033645732059716332482370391402926541566978844250352590807092717516081067391637050128149493j                 -0.1034703651587071102760260775165226485242441740170652027660203013017234373979645074416194340774810609-0.09722526922081501491937246237880830736136851873643497419998189888436278439421429695833987949972414018j
0.1703001302364110544409347606531082303993725328575652517387935143007344594338357542873167781945252619+0.3377814120988199616077322627292191150001323881205853199190862011429892977057968810254156575521777606j                 -0.08509414800093426967570985167405383871722733073417836282329901191277385318614559087482483294990162879+0.1150484369437357442264435174495315704740065020308891110740803647061804344371414769314697266977604046j
0.1953989890876826758084051415055938005458080247055793002396157800854286874332732732409608131080932548+0.5541866782714584069653279671816457657565480587624668514386964520122931580864494808808698941059811441j                 -0.2689421094370646161970215049958203892252489501123936081016732354581546169066897991997382598947901307+0.2165750334002076222495777043664613380746483671636311937768594873720061296298172310541986997061202137j
0.2586837077169235801939837156409076640565678740376408349259692330869611263424849235465123785450901248-0.4056339775106482603872100909557677124669024549831519442094073364088585234287083062912945486476052944j                 -0.09762166307293435044419043093691634458290495401061235187928526565622836561740344738733611856414860494-0.2098618025568353747506491736430638722170107345947051389249449787474662778428855193611864134813933184j
0.2609979929201184989617065962047054749535453263283707890689108812044871760768233695211408312285496941+0.2878549915761975032587587362100721417834653185924924509603620784949945578705075929229915277787083052j                 -0.01474054386700250945281143099076070301259982473824622552382568333555525578102212466003662280159388671+0.1502591501068503322273500599247295622752952176191055821946360289761275992937989120556340255459463316j
0.2669909894308283480582390609953930065985772784409283334752788730311568821337200341426072588666210563-0.29275836845813031825047209762746652887349594268891661954196311234528590253565789314464034902967973j                   -0.01442327386501369815431702308441260604069200113609733163614326700367133119821072804647477569158099248-0.1563276929175824460472397194411435556562172625269277018916501635926908962417207510781313964011032963j
0.278429411709370468518626676529623467299823886053518288430948470081243190737337562344706678496133017-0.0009660429899928522210322142489919802423887461924954121124355746673135506866432974021255871016287584548j               0.07752200406576761063410052950302751506083721688321360185906872823984547820889472270446506230100847343-0.0005379495627793422130648115746916778331390068298914885293716354318060462600536611105085919153861890598j
0.3391042540974896061806465418297331735492731815356654382081129741440469537518315147165725962645984177+0.01651652963858185537137344833249326050586345418585209405484587411257562888954468235597005234388846879j                0.1147188993957126434887711162549875127154392732714211887446081090590664316403646873749274034965505584+0.01120165092674075930716361518667991418381330188492884146299183514749451750517775044944789602193729593j
0.3391253363485035240338722935006266985917139065313277701072153695994136574776309074086973943066769925-0.01668030471281295655917952087563027053203009831402142557011439961281022450065111727869333203942847946j                0.1147277611881733553626026122568106251031019572162200207504064971234861586331074717415197867301355916-0.01131342789225644474531856478382478895676495684526263136658844250613584758612629776071165700049992073j
0.3721685733993913438222603889734096445791866636629949548881155605060385358434499816921427150777404366-0.4152216228626424360607680805947052338028445883748955316988709316861353825305241484540394702670621974j                 -0.03389954906654832560123932375610819323058392121418176075066480029662583712465085082520906951465040973-0.3090648780507394647543007160623780081063956207069503868820093905250562308035598291170974948333241916j
0.3882671548526054565399880302638222243530317177186007221963815932762361518152381053978756130964991083+0.3243718058300914804389614322262251629688795584618721685006459547108006458887412702709852068438044365j                 0.04553431511986253557897165384040332730071493916575264410570989008819714732081669707589238200334040065+0.2518858363281027965362954474218524497045792245657647101024926317271584122740108275934664992621902797j
0.4237083460417984860999292961209985182505713244547844243043349977458346451180538858413537307323674847-0.6411623512899966228843468825356755645077522241076823055184804066136022247828468569220237596419263946j                 -0.2315603982062405832821173589035242959787145076646665287842377840956255389646820710469810891752135822-0.5433316788187101021122105502696395621007184623539611971892586593165598150168250571756742022019250132j
0.4579120608130755897402773473822084508850961640666103549122620691516143516128476775633776995251487688-0.2605771837890693833822976314349460239053767577216743956415897457743857593203278009492007466260139618j                 0.1417829867266353932792196953286447934324629806622898130931327477031523301742718443738195963879893946-0.2386428704594406284193518060052476822575766978351198651579872064825196337364615801166597937552795015j
0.4777355485291795559808364304294754892354819768751214851039878162614167834106566236994316376624677505+0.306359290428963700104356391748189925266025705878755647544890424373898062769870954176936012984778613j                  0.1343752394963379452303371854741590374958171798069273403901216333610809291723763071297742455725739817+0.292717447320182403242530961569505382501037000055297250156205297714450459272912383285856381731053315j
0.5304230743104411368390012511901225027463182178234609957449264297644220731402816546018745838798604711+0.2047996785187268377606139555697830814303446662643553849668345555025502424507997308402780952220631932j                 0.2394057294395658973370275823549912969465976207419157804303387065537949373106173190313261266746128609+0.2172609501953862017497993474985262544801272008317531405315369516585186866564503126099754543520141316j
0.5557910267136555832431754445720355154756314704280937047723616864002291178360215761458531817279139492-0.1954925671144359802242011563143387859861034639630265015447794003962000609641820028434464386503778466j                 0.2706863215784271580765338344531619620127256277831847398902017908474752798881082521977083642230550167-0.2173060291828411897277657995999858779903012926382497308049657166263894750759775185657658169340006167j
0.5762146363455396010457645246187070294088310233730918565998664571215018486965974254568073748095075045-0.3189042311585485919562607115272836065191543987963094868654041895763192851326617933336503426993278787j                 0.2303233984879974523867125939790734447295553897165927416613526394373570107661983881210442486394570766-0.3675145711721539520174408851106761949601534553751623934079498414411217469541473120624170161179975668j
0.5827518268102689443288634922137350540601469209593367889725019709439423264659519158008767637489028029+0.2786939757896687870300385080745529661151853424834939820413013888801051804375055208072429392105559564j                 0.2619293595092531983687743056821668168687116831207434372450051013074661553186934667959054220608487373+0.3248188470248927022617376514889445803239775956368449936679679209219873129417054681523221172316064867j
0.7322692460617291556853118055282223653574124872974948661546832491273714583111067305682476011900994975-0.0008075360755279231501847563554390318384793422837215175686504192011583868867967961235750684352041554504j              0.536217596613299961544007784509524803126273569290597177132074169233651290398495402081855912361557191-0.001182667666388959714519010356012213809833191957561958763114987453615497142111901078459167274405211996j
0.7361371075144067424282727700255015438592893498280880242867419374003278735243492722347451614659583453+0.3117466649823674460319617321385365118748138199324594177964614023397672994127366517717556401460430701j                 0.4447118579320487864391260267595054770762051288594932830960711000013028791069251709777665199148899398+0.4589765764747655282588093442990879641668532751555870128313976506935185669420588089860847174864059232j
0.7599023772376203512343205059380674279782928735852940780072698508871017321977036808397335530687799582-0.2347777380910727191816613725646290848037479124781119761115170917341483546234642129455196619198494338j                 0.5223310366282263304952799277605424474189359307092122141874201053889512917361085226221713663759252894-0.356816322595755140746395959383820560491350990957446687373127471265806386796759423049716848466843487j
0.7936819649341577197403195973031224488979645139466796519651827373037041927949804062070766073033264504+0.3026347034429971566801624418706558496868337819365980403212087744804788232267001671592884053974209905j                 0.5383432977337147291714301672996263652246643260174895352381950744805866257531844618276444885443730826+0.4803914121718081796858502377872673358593025007943702083135077262987213878369848747554343247551928569j
0.8738968605054993368745458752398919258401930088497966718781795006946273443857819721990085586088077404-0.2064652462893063245817911025889189011545840312438403327913700981369981777780898344396205942139678026j                 0.7210678248760642476770564445005027943054773108198488344176210848173874039861880698924366258146609777-0.3608586610714389874341043964555824537777514230075879076377218396914178619754930939622187116551643401j
0.8893025955682524044524467984973911582779125153497706885596690439875336486896463737421858745981508097+0.1089428361142129210320137646272769266518172066925293326775133141419404535336443302678944789703641184j                 0.778990564943822446048823935222602218799180663112543339283182452455942856657122558318891922648124575+0.1937662938498725912521405346443243264354332537659924852978732185574636498467404096945664994326214988j
0.9409453016878659558317471543919435781090164456786009326056452993672168219522252869205008932599592777+0.07457474816506557091009504142423288211192895587336663323224025723439435327715379634420414165663686907j                0.8798166677045861284532320568423657002824839079708578653792826522329770556126581651670623368909453936+0.1403415178209485034644217676780282544464047353895410025717963763315926934237319976526263476799891917j
0.9558403436230442349352651888387053274601665867796786304675331567131410848703955252754371356838437684-0.07490533428975314118953773514638823558719389546852767973290156370447620561220826039006034615342925859j                0.9080199533923596121169171949344739783694122774372714844450333048693362767504876963278603238518353996-0.1431950809334332811101294165896571886308575241946286918850096869098473202709889174920790437589563811j
2.448755014465357121618994158533242738121974016229086802501767099864556361769697524398133109823753667-0.003373928025150474319765767083494450161442261354363870328768396046775962382888921110514397348296901691j                5.996389737478912470167122713622975243904408545822573620303235005084294550468153484542598612496440921-0.01652384634006484705867668702274713106311625600528307394696212838594002307903436993163959752687129114j
6771496444600479290706178483053574157039500177.777287372136788546538970309606483789590740671954813125+16347838148393121136090213333566994409046982802.02083678909797474752372896049736737842645776396027046j                   -221398648026820499415090287363310201719698700968082760427498581635663296765343616612771433091.6205364+221398655797496204686045254433942675949712271457274462783534649229789256951826141909269876070.7136275j
16347837980337340073848595630801531009264674136.75061016036429446744105420094080343819696761881037342-6771496038877933415039007420492163708487982575.081903355981020440371456983575586893762088276163428111j                   221398648026820499415090287363310201719698700968082760427498581635663296765343616612771433091.1198371-221398640256145066880212687078247421361561018318019750366418479215289979040591860267601890662.7136275j
complete
