Npts=6, Emin=0(0.000735), Emax=1195(0.4398975), step=239

k                                                                                                                                                                                                                             E (Ry)
0.2774846583064260418574252239622804181671527053965882348635481130721830682868256948818554011145020475-0.001143417764160532017854012754648540922696706937157408040710021409731943163716780983671016018103311107j              0.07699642819125061707808172933468863715859136002825252204721529113883813118691832268467288651116186665-0.0006345617751791657274668987407076576598944426261441063408901729642564828150881511604062958250933070941j
0.2901949052484177094896177415706085174327046697855993572218205410428417847375551005219893435880590204-0.1325947631478622981531567784179947333366556165905192402946860071072343046445960123091521683370834984j                0.06663171181790043049065621570337461190049983140635156611735641227131870534769133106208310879523463467-0.07695664945626057583429467118868851712701886088839269320209845917964904765813382148101346307910425257j
0.2904273264165291826278357180590350789954442123692590643595907918079765411455513424995692221891599232+0.1326415805253589719829175660162713181979688532312960806465158318200883209418950920131640024734568852j                0.06675424304518790109865063413171082601157860223769727258151435521662507226230628727491597985222517848+0.07704547920728554108359938237312759349590359774288506087592710472595079989154878406874273933004066302j
0.3047075209454257071588673301083402356356558118190560662226658878997828661323456254031309698696527142+0.1354098505229439200535038509889275279496713775836447467049220746251310861454120679157571015092426159j                0.074510845702061030219894947694920250246085792536211671669917932206809185664289242676284644344235434+0.0825207997288737973310244050123411001627655943325637054476542372789737844726829595704706568411093271j
0.3061375957659990819847277995672303538415430007526445888962489723654419464131449657195489912144685904-0.135266319855258603911411147466738276069436659811226676526195218680456970226886733451016078294258439j                 0.0754232502542011310289609285884738412557217230405427856652201341299393051937497119648718050445777193-0.08282021189720698787415530172353501756571750263971750314735134148254850085495311102143022353392385786j
0.3211161729776046462249375787345356557858950365304457248809246143832857153683413513354238810666113936-0.5758119223493799750211017162422744866944407854760411776355365612059269943529961091624821540998135467j                -0.2284437733719054855664482497547202907776947801637857398215166485208710785379731579212533504128940331-0.3698050417194211095853972815241807659055815360022225194648600505351425272446431634306101556004746744j
0.3962612323323930314012742777899936939309127042380879808263263993594022814492153819978710458266793462+0.5138704191455133885152704482876122587672827719276821220353395783865896675497941235138752198308263053j                -0.1070398434231988445010253818588675445097683953488373255390782752865770840192534512513071669384114036+0.407253851099528937945552650463140182962700502451522341557165764928462127878559790902644247071075915j
0.4413587640868936015494587824009585501800573228680550164280867153598496704181678788486756288362863934-0.5595416664410697711972999563057393959859910761331021163364457922001452094798355052298785488819629881j                -0.1182893178473391842241888834410196461596640172542830030068069270215617582074497976557174777361267903-0.4939172367111028473349071966184962143993272436858774930120793859713703578316836075291350477766857788j
0.5761851881649372294732704945253640277729885788353681251664063083899886726264039583433702852296948758-0.3737226007207577805113157915473432263785892567866260538978724840122638779868765424951221961535773054j                0.1923207887711771772463869791483576381547191792110569016880768374486299337436964023745506929223794371-0.4306668540355590552416045932724391984292442669872040845648877667671046670090677317244394047962078361j
0.6019821955365829548864169929211847692651774870222488234820726529978537811774916706479046112157532151+0.3602102188197831944300204816250703960314989734972000605281356402215437677916155036418687454748581236j                0.232631162000848704223351208911475185417608257783588016479505629354653049200831874079905316435344759+0.4336802767596921208033952450322959139054300396091481165324997911429120022772600124662018246579353199j
0.6373834459345560238518621785495442028021130996331694525325722827232852743959126805171255309549622104+0.4205400262912146070457340142127668073576502462408054563195547173670035672662854027308183393231999173j                0.229403743438393629007807653366985643158659397821058976075063904378792044243400104412962482227084267+0.5360905022218063086288126489929958020235152443371166429770029261766791211049214617608503506604473142j
0.723778480995770224313150487407289939598317374592716833056860018578772179075306036222805352795759039+0.01598909960477823124327131323530459278865317932548834430002085101535441141532996759031539266092578591j                0.5235996382463730003662767219943786040234450603067398866885636316577991150969420454199074970432794989+0.02314513244887291649271749290185744926354882334150548786922735429464760185591776957377031976139248823j
0.7305540291680617831506919510593252288253414532296378983106782698637957730523808039375711496162138679+0.2276719783169924719779796531755472873134039156145780712709737634757221215837272958777462437810627195j                0.4818746598229161763184127734691400529371885939430182612236471895755877590948699566707231253688466306+0.3326533621762848964311641271194789930853604889136539181975143853476247076224674792711287302964886475j
0.7778637332654508381672803456406476626784636592387309198307651311140499256842656381806409808581163019-0.1176875781758979946464024834024776635820670237226882915329913118873861741636500990036210125700254859j                0.5912216214727563469190990298285691671838419468718331418454682521765771034887167760101251361029271551-0.1830897978377472220230682071924076577229399487851302248746789542919160147225668044524354505894766508j
0.8019015270104793646650865358688018925752419638312044835473714246995665797994284970709204196278985474-0.2606041970836655756034987789381277962662753283929145444922167146731961781306865400442100479246183439j                0.5751315114841165567535701825920814987510015096782697236695397641959051963768512142444560863977131692-0.4179578071734626764965428601307687282827416006992759673184245518279932281643206726006434001764485369j
0.8180212377137193346578601291187766250341642097800542026232857563615991271063248445802710001551100537-0.09216672255066548962018447042567151167078555270226547988821257795186690495848047025314070357424272597j               0.6606640406049539650278073810463836258487510624759437491675888582682370112918184416589342970779946967-0.1507886729138247017775410543438699200087197214374603389802218987925073779286461209773217835738238306j
0.8774517399805764436936872169629335536610143742335889517300401433316575917016976775898876505694000696+0.09192405414066024627358102951265897852660785435097591256394488046217738204198239099777075210281674959j               0.7614715242652860972764557980770126462614372016599374613593895728963332515454370540406317276837291994+0.1613178425035820916001530627090593375478502735097695198758913021145276652232726975146072441278697492j
11249223883790998076478697994529740494254896718.39560317873233756048018910317927891697306186885560137-27158028866419569263654910695553298977267027934.76109435501356380600287455749963970834858782622207823j                  -611013493921624767707140759033371866492375447771926688188194170197236465069031173744539799856.7450652-611013493921624767707140759033371866492375447771926688188194170197236465069031173744525438768.837559j
27158028866419569263654910695553298977267027934.76109435501356380600287455749963970834858782617812587+11249223883790998076478697994529740494254896718.39560317873233756048018910317927891697306186887380704j                  611013493921624767707140759033371866492375447771926688188194170197236465069031173744539799853.9481475+611013493921624767707140759033371866492375447771926688188194170197236465069031173744525438768.837559j
complete
