Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
-0.4933806083142425552666875537115972230781099423463152021246860899172913003533408357017816345748981124-0.03355999241434526677252218534803518251746132725272829719503486720532381830203961069168878639716790184j                  0.2422981515696811182047227775160604375112998786021183632041997074233853460058932836420174295532417786+0.0331156989448220668263274021256355279501457115208892736267517636006636448219596317914585510472650985j
-0.4617457872769246432912383195266801652832774436072451304241725733251618517273487040864169576117173825-0.2526655794754792071386983875657315713819067045961191532393850343700008141058524216349483316610872313j                   0.1493692770163072442147006749482192014758642346628604121514384329487054781244959868837577612453363419+0.2333345338253710383412308211633005125717376465339301393018660067517975286608971225224823681930591486j
-0.4591229950148115157989087620397394396689246397855886426078991316000240690039001442790611743328393144-0.0005590185511746953754348834715604162943074751613369987474242894383111102073810157601777587235124005025j                0.2107936120496300825328766835815358355421191694428964576854719419552138240219886175838715562478475625+0.0005133165429683336421698404275774493453110861207655928940613338741560801218756299517399097457938232782j
-0.4591229950148073970035831344725059295798432709690555798278359772389417843042842501243233063686924139+0.0005590185511726225825631694796215461206916920947621664478132140369871312113888033315396796267392439576j                0.210793612049626302783044509386738116177458662639876072460253612084365255857195420836540175612618135-0.0005133165429664257034612360498581815870891758140456423916768770379466774144902344018182350918924888291j
-0.4507700199240425502646329625461654699975031004843381661043479911313064599956929674473171923443463712+0.00000000000001743010973432635124953877103285632668704581701866471185138129149092468062964596082524817544966910952j      0.2031936108623217177330487455056806043456356502799266851984437203938056304039178991648412348148327287-0.00000000000001571394182444107471050918255407265559006159106041062274787629271778816403169115582104454769777871165j
-0.4385803464809878297083738617150306325539637880001785164226868671850205054258560004654060230526959096-0.000000000000004590934305063397713994443421136127173868680875135133613164903199552663702699794922174742575851942544j     0.1923527203193833337819246670431635518939357903224234033677271157008504881252703274749315701668442019+0.000000000000004026987116372316098130914548189652353629835567962577027301154346175007345826396072684869985672763047j
-0.4349613610824468747003599796420601767531182309144494058496938004854884460885095206622029148326700664+0.5084307007355705128548401502256352360979981600281764299167070544748622116318506198199510190519989768j                   -0.06931039181576853137482715629823988762618664542963946238157654514937589961194948242925029967497891861-0.4422954192160919473203421435752154001111257388536434153251482827961583841465365642551607608392259817j
-0.4334435352799542732965575145215978194835763146733038536695030550086600905247253179451370692799063798+0.000000000000008310847014995206806109017384773243249518788787553944446812743856613025634607768120816675567931635655j     0.1878732982759849647904063799180438231929597254488681269674775673670823247849271504883368672207350951-0.000000000000007204565822700755165315598889715381163207049180446999544851205256415522525894554696783722962083052392j
-0.4172083841022635213450577362500758837244195434519008548969315437957587324188320571362996166645893043+0.3757937772079633657686055938979310785772061314768885836505015879151049874090336554542325575512632247j                   0.03284187277699344653261754704280565595672984948319023481383153148133167963509089310371585234965233762-0.3135686290892408454407345816925395332506915040192933717744086033273539459851807357209387890108439967j
-0.4116696590014435595586639454768093823142511788344571337100243027647670541608764492230955111648939188+0.000000000000006235522951666914718470952811938383522058952619623388139683217276625009761155840693584230313342565648j     0.1694719081423648203425248376853830852148944737200063388916404283057160197142971124177055086444366324-0.000000000000005133951214416787224990330679058570866595323489188115714753393096250569388065561505131110466741810499j
