9 poles, Ry

Npts    status    k                                                                                                                                                                                                                   E (Ry)
36      REP       -0.5924178839196049181918963905013034810686812536572837048870783117381088930542167566460611658480250888-0.2055117224871769607157935757310670163162881891823774576105958806318253520271274578828497060489708865j     0.3087238811081360510407365286526356271523285886742446945124985772997522481575994747249112337870525403+0.243497639513052920917841355122260587176183550449740911082794424980913168220842657415093248550936938j
38      LOST      -0.5924490352730992403161672687716175393111069513607827354415879866162947980261573649882489464431659017-0.2055486926102720396510445539702147614390376625632273007953740773378409040857072378427171624098427066j     0.3087455943622338844423553302414803762045219799124529078435505735826841576319676993200106142306084761+0.2435542492772049855571795234115515259330587258905785799066673125072270464994674080224144181413508492j
40      LOST      -0.5924126326888706334908816224637514395546963576361977662026217042475026697887088214978555915689955123-0.2055177497690517143090711233900949094658454430999084978429437005939987568276333874614508738978301922j     0.3087151818992241986920004952127029271738812525862179214764565276025119113511172276118240646303313695+0.2435026224099529213899520607605585073791520780633174742853021685220246811710216731768116032135511377j

24      PRE       0.5924620262430974989024828968624272532824293212984420061831479460206085168019961763207640061507851961-0.2055193408378632867869495607883255420090128668023522023327844210089299802774751849459818258384186889j      0.3087730530816469293663079049451248841055328756565017490040844211218593069884024371018741067532017348-0.2435248102098925162691732918180736223456546711672234727991093766216099547018791600591698642367413625j
26      PRE       0.5924148879718892056144877947168544320164054770518873417952835061874488402908690559981399710687924382-0.2055175498760214697524008807802021993976377909452268854522268378905978068939996918853491582075696509j      0.3087179361837030653486259856961558258623611541548365967438760974470905941715463721355287574385344663-0.2435033125721208226035697331312479391732855066065300497858507229893325100369439973580756636438529754j
28      PRE       0.5924140145025374070737154624456316147642296338473552744568319838876907973381666998922486341479044599-0.2055187124903067719449943287306560584797664365312163888404440264216106508994835827195458644218692488j      0.3087164233953392245215007183197602331804471967196182536559534679747371431168069378289911881435925458-0.2435043310435508234786477244615900939488028430943625529035599825002909904529498877311104762986115283j
30      NEW       0.5924143645691679848112697657137097511907300294910342532843781220495705239483849420854135509934633522-0.2055173096192043881209206959049131851048792762825844914090313477722738152249065488688943415619987802j      0.3087174147947751552675918211917805969994758715741288912516342835655792505030258446318054502563164888-0.2435028127720518454689214761091368421854730775115689247181448928851858243062712396817574864935131329j
32      REP       0.5924144610741804994940862340795892865172668678524668539020345183416135233545438509189570320166729951-0.2055165481397557903642372870233895904638281553604667841864555197992609532371097880487302855050904586j      0.3087178421305311630376313839005544770712238367546768221745353863466966594372362854239244589867812738-0.2435019502160785988311322592936614238162698865836575279945531682245444780265179949348932123922488799j
34      REP       0.5924142036023528860680823489348358744305772860657654259280908702175966003185883859244779253405180975-0.2055169156462935775448729285213755038208418861325572580185783625276760526087581886936460636961732358j      0.3087173860130442693120081112705376942413101063787282621952098417629375254374153084935951778091276157-0.2435022798188218938412403173734556607258456394362624006740082703300713535837610879523797333160199683j
36      REP       0.5924178839196049181918963905013034810686812536572837048870783117381088930542167567803817841560968408-0.2055117224871769607157935757310670163162881891823774576105958806318253520271274573665401085036897948j      0.3087238811081360510407365286526356271523285886742446945124985772997522481575994750962744561731178223-0.2434976395130529209178413551222605871761835504497409110827944249809131682208426568585600933686893313j
38      LOST      0.5924490352730992403161672687716175393111069513607827354415879866162947980261573651118817229867295708-0.2055486926102720396510445539702147614390376625632273007953740773378409040857072379121838363110238893j      0.308745594362233884442355330241480376204521979912452907843550573582684157631967699437945284612602577-0.2435542492772049855571795234115515259330587258905785799066673125072270464994674081555504571787372348j
40      LOST      0.5924126326888706334908816224637514395546963576361977662026217042475026697887088222284140104835139283-0.2055177497690517143090711233900949094658454430999084978429437005939987568276333861832810248180670077j      0.3087151818992241986920004952127029271738812525862179214764565276025119113511172290027813196057114564-0.2435026224099529213899520607605585073791520780633174742853021685220246811710216719626891172400893239j

26      PRE       -0.3602041974219679598696335310467038151839618779063182080922383011872986816578660071143825437680530608-0.2479197118316579706125045951942437109103205570644307070833584180343698814297237398246338729045430061j     0.06828288032571174032534385608967835236419147589635456983715387121665421762084358562810758358497580593+0.1786034416508158669923979514648783075857636542904052707506217067298918468531315319795302459620247441j
28      PRE       -0.3602042931349757654163092586709595585488188604202684727784488700513791285286292073431217791418982106-0.2479212304507405696717181361189357223678180216998258759242008313350652663816949729927225182436680684j     0.06828219628465833623505633743975982896636526000697437551475676063307528627450813393701616303715637305+0.1786045831353248721361207603634297830472216359477116505071157706210320722826009418197832185406679973j
30      PRE       -0.360204254297935877335765110741884045358692429998232736507895008078529545134833978674694390496051593-0.2479205822498709341112994176222067627857546632827069926094443474079126667140981066991604462750344835j      0.06828248971121703807794585297187708441778707414957675770340145107211961063852766047431670749406212078+0.1786040969088496752001055426816418691735180669634637158709030920486367785375621105778382670155378874j
32      NEW       -0.3602043509427242742763912690449935402444275910186674761270033703461408232758717720832050749199040838-0.2479220197332553208563769650428888609876737901006927574890131634493154147865052749521890192173802219j     0.06828184656945262906255259417276344297600339627516174744396316169120029299402071138514439875132489563+0.1786051804048530247265659714349678118790607333523344559564208800307899497448329872946723205403492251j
34      REP       -0.3602036562024683360347673256669062753968259189309425503324248922124796302883199604499282138989629191-0.2479206423664029720559361418524701705445788407670326568355831174188763927101528348084425235844602648j     0.06828202903025612150903026039625394919409595254984734920547590942819340978483050696869879220098746216+0.1786038436568858440648205691362311820584627606782118445519383855882068372353128996913399888845701314j
36      REP       -0.3602039609701287079688615549980279614721352614433324420172002178516224755935092650884528622987632925-0.2479179595416490871486016389618158229313830157906684228597523599380939441478059667344755737187902128j     0.0682835788352752519277120579495776243162337895816738982272815326263039299011656322697941850917924187+0.1786020620450682317874558803463997822916182675154417618960887301839550584335232047595994080766086543j
38      REP       -0.3602135552032076895114752234229924267908221875354593857841730604770798697385439327143817339406808063-0.247909990289881303584581503778897628693884008793001496500773341704605218788256084800609688729305814j      0.0682944420666053112961104724439036070384583613497286770488582269825528579005355776715862503917443799+0.1786010779454216824517107682429635900816182007093052948916691429791024442552399578653382771673455624j
40      REP       -0.3602030646328335079761808829688098432567991892369223562901809264456240702838276662790013513755128273-0.2479217827404745287768654834034385661908925367725958997885326161074466815868007160124274536233736918j     0.06828103741367017960201176513795561976889568848173768492481550394511633332764017530402706329484414329+0.1786043718647089071094923822211875801677098077954423832728635152917037796678500981742254465733471793j

26      PRE       -0.1667068032872015433648354369795449275149781169603522035387718922773989136698875763840254217033890032-0.2852877738644835763101176863951333907119512158204152828813578964916234639649816036745401589696989747j     -0.05359795565431500700399003479801180273780730400336710849177251029960257739195876997734196938566471668+0.09511882559574020241932820341976758123469557827578832548055656715072443985133719965044255221064827814j
28      PRE       -0.1667044434829567290849080071902152115041762434639259617483273101415249359059529055159847472414964924-0.285281632643140218455802849039342770637936199277958549805628065473018617201337271848614477734471535j      -0.05359523844657329240179507362560161561804768337159470995677168555184109300792500796851624826902684564+0.09511543161136798411581250635275356193658829863109447108380559258891359820959367382377988379310487087j
30      PRE       -0.1667065317744702207927471931886546013573064465896072891879217911253465664115071577920880049109818952-0.2852848857704826496798576014498674753102545196895207399291163925099155094197096354937179652366329037j     -0.0535963983128048844683404067819952636424425523691698360062132116124472249603481652612141407838261883+0.09511770774894614639063336193825258513891287024226649189161927773877063743894705306736056487809172856j
32      NEW       -0.1667063629219549751609909631846137204647094562604870764600687616445682156409271014530995496157205048-0.2852840486881172539916888607952225121479735298743428320748374539029871671437821826417580356743596084j     -0.05359597699721749138451235657053235474824440301130058210249436456818987061254361671271288660268676141+0.09511733231289189612892901539915671767502709808300756197207068658520142239776280360048853361360518671j
34      REP       -0.1667061049854832733100764525022106742877281741905719780753016059629629519422100649698783114989267093-0.2852827958730873651934770065050955282136818501880391813713351129621673616413454977514143671216711118j     -0.05359534818173466233288587897698952321847489625147871286507725616183274604224509287993172319272222976+0.09511676743874219319818052907620073608108395780393790325947398423868563594065525840381644760718528858j
36      REP       -0.1667129910637514514503499877973729483818010819099773288730060605583192539358654064727218454782100043-0.2852900827585190237383767007820406872664769681349715991453627809898452899680037323995152318308142128j     -0.05359720993094016222929146391196235660961088147311298277080313312519243982637312660945089586602013158+0.09512312603499578807614167387104312406083380974140758807242639990597562646607769254953712005044533535j
38      LOST      -0.1666732999861656492541073318185897957070062966665560207259409420458483828610073993044357068599474053-0.2852950799086807749542105589517488775165986254110127423641807026515845543899756918542804369549279086j     -0.05361329369182218256254559201157225562544004332299702436911587480635510216316490412800621089317167553+0.09510214487639330241328291300846041003965947235635540686475244033137341782903815305646209556008751811j
